OOTECH OOCHU TAKEHNIYATINKLES ST. MASK.
41:001:000:1  Tghaehyestla Ehlaiti.
passover achati, kahchu otles atu chehyutli: kahchu tanegliaotatyechi tyiyine adusklesne chu o on khagh an at glia oolakehe naoonai
nighatuhtyeli gha, kahchu kizuheiyu.
2. Ahwole toowe ghati, Atu kwehlachayihi
dzinee eli, atu tane inchiniootyelu.
3.
Kahchu ali Bethany tih ma kwa oota
Simon chusache ayahi, intyizon sata atsitsoo
yuhchidesha tsege ayahi khluk tsye khaisis
spikenard otsi o-ochi matahi nation ; kwa yataghataghiooh tsye khaisis yitii, kahchu yatsi
kachi nayadinklit.
4. Kahchu tahkine atu keghaneli kooyindi
ihe, kahchu toowe ghati, Yehoo gha tidi ghatsatyestla tidi khluk ?
5. Ayi ihe atagliachulekhai ootaihchi tghakooh keoneti ketyi sooniya satsoone ihe, kahchu
tyetaisanaini ghachulelakhai. Kwa atu tyeswe
akiyehti.
6. Kahchu Jesus toowe yehti, Atu niachuwahti; yehoo gha machisootahtyihch ? ootaih
chi oochu saatyiinh.
7. Ayi ihe inkaa eahline tyita-isanaini, kah
chu eoonetye akootahti o-ochi akooyaghaklehesi:
ahwole suni atu inkaa naghaasli.
8. Koo hatiih machitelonh otsi: ootagha

ST. MARK XIY.

65

yuhchidesha yuhthlukke glia oochu nisaclmtyel
gha.
9. Kwa Hi anagliaisii, ooli tsi otsi tidi oticli
oochu moohwocliatih ate tike okehe, tidi chu
atii moohvvochutyehesi menachutihi gha.
10.
Kwa Judas Iscariot, ehlaiti keneti
onketi matglia ihe, yinkhadesha taneghaotatyech tyiyi metihe, ooli oochadehyitli kyehodewoosh,
11. Oohaditsuk chi, ohtye kyehanelilon, kahchu ootagha tsi akiyehtilon sooniya yaooleli.
Oonkhanatghalon tyehakehe sookah nio-otsitigha chahte autigha.
12. ^7 Kahchu hatseto dzinee otles atu chihyutli, kwa ooghazehai passover, yaotatichne
toowe yehti, Tyecha
koodinti nataghasootaoozani ate oonsitsi passover ?
13. Kwa onkye tane yaotatichne yitai tyeha,
toowehchu yehti, otsitahtyel nito kwa otyiyi
tsi, kwa matiti tagahazasi ehlaiti teze yaalu
ehlaiti mehtukachatayehi taismanooh tu ihe:
makehtahaz.
14. Kahchu kwiyesitti, toowe ahti nito kwa
kakaoodzutti, Wondi achune kwa ayiti o-ositsti
passover mawotastihchne chu ?
15. Kahchu wahih naghotyesi ooncha tyinta
ooli chelohchi soowachisunooh: Naghani
alia
o
o
iehti soowatahsun.
16. Kahchu yaotatichne yitaighatestyetl yuhchi chu ghatatyetl nito kwa otyiyi tah, kahchu
E

66

ST. MARK XIY.

woghiooh akooyehtiii: kahchu yatagha sooghihsun passover.
17. Kahcbu kahkachi yuhcliinooja keneti
onketi matgha cbu.
18. Ghadehtsi zabtgba kahcbu eghinta, Jesus
toowe ehti, Kwa hli anaghaisii, ehlaiti naghai
cbodeh sakaehtane chahte asooti.
19. Kwa tyi atu keghaneli, toowe chu tyi
ghati ehlaityekooh, Suni la ? kabchu hligi toowe
ehti, Suni la ?
20. Kwa ateyatetla toowehchu yehti, Eblaiti
kenetye onketi matgha ihe, yaghi tila ihe setyi
tsa ibkye.
21. Tane Chue otsidesha, takehnichatinkles
akebe otye: ahwole atu oochu oontye yaghi
teze tane Chue mihe atahachahi! otaihcbi
o-otaizilon yaghi teze ihe atu niniya tah ooli ate.
22.
Kahchu aghatsitsoo zabtgba, Jesus
otles tyes nidiooh, kahchu merci ehti, kahchu
tahke yataghiyits, kahchu yayiooh, toowehchu
yehti, Nitahah, mehtah: tila sazi alonte.
23. Kahchu nidiooh mehiusato, kwa kayioo
merci, yayiooh: kwa aghanetye ayite otsi
tugdiatolon.
O
24. Ahwole toowe yehtiii, Tila sa tulle
alontye aduskles koonde ihe, oontlo chi otsi
tyechihkliti.
25. Kwa hli anaghaisii, atu otaihchi wostoissi
ruacliiohe chiche tu chine tsi, kwa hlilon yag-hi
dzinee kwa kootyinusto Kagha Tgha nataghe.

ST. MARK XIV.

67

26. ^7 Ehlaiti hyin eghachinooh khis Olives
tsigliatestyetl.
27. Kahchu Jesus too we yehti, Anahtye
naghai atu oochu inditaghaaisi suni ihe too
hatleke : takenichatiixkles akehe, Ooslialasi aspai
ghaghatai haslai ite eonetye tsi natihassi aspai. ,
28. Ahwole tsitike netai ate, naghaghatuhshezi Galilee tsi.
29. Ahwole Peter toowe ehti, Inkai ahwole
aghanetye atu keyaneli ate, hoontye koole suni
intue.
30. Kahchu Jesus toowe ehti, Kwa hli anesi,
tidi dzinee, tidi hatleke te, atu ka onkye otyesta tyeh tihchok, tghakooh oohchit sootaghoontyesi.
31. Ahwole otaihchi otatich hloduhsi kootieh,
Ahwole nakah tanesut ate ooh, atu ihlawotatehoo oohchit noodustyeisi.
Kwakooye otye
aghatane chu ghatiih,
32. Kwa koohnaghintyetl Gethsemane woyetih : kahchu toowe yehti yaotatichne, Nea aghasushlito sakyeh.
33. Kahchu yehtestyetl Peter chu James chu
John chu, kahchu o-ochi inditatunne, kahchu
matsuntah oonkhail acha;
34. Kahchu toowe yehti, Setsinde o-ochi atu
oochu atyetatih azetse tsi: chode ahthli naghai,
kahchu ootanahi.
35. Oontsutle wotaihai otsidesha-ih, kah
chu tike wozohtih nwatsutooh kooyekehchi

68

ST. MARK XIV.

tyetaooklihassi sye makehchi nio-otsilon, ayi
sakehchi ahalai yao-otsitooh.
36. Kakchu toowe ehti, Abba, Tyeih, atghazi
ooli tahnootsut nuni; tidi ruehtutsato saoone
naniab: boontye ooli atu suni koosti, ahwole
nuni koodinti.
37. Kwa yahchidesha, nayintyi satyi, kwa
toowe yehti Peter tsi, Simon sintyi la? atu
ooniila elilaiti meoochanelioo ?
38. Oonahi kahchu agbasuhli, atu otsitawohazu inkaoochatauntih. Atsinde kwa hli ootagdia,
ahwole khazi chintyeh.
39. Kwa yitai tyesha, kahchu oghasulfh,
kahchu kwaka ayi zake ihe ootatich.
40. Kwa oondehsha tsi, yintyi satyi kahchu,
(kootai ya-inkhai ihe,) kahchu atu ataooati
atyekitooklih akehe.
41. Kwa tghakooh yuhchidesha, kahchu
toowe yehti, Kwa hwe satyih, kahchu niwotahali
mehnatahyihi: kwakoole, meoochanelioo koohnaooizut; nea, tezoo Chue mataghachila taghila
tsi metselineh.
42. Niahtyel, yitai tawotyeli; nea, yaghi atu
oochu asehti kwa hwa atih.
43.
Kwa kwete, kwaka ootayehchoo, yuh
chidesha Judas, ehlaiti keneti onketi matgha
ihe, kahchu yihtestyetlooh tane natlone simakanis pyese chu mekachatayitli chu, taneghaotatyehchi metihi tyiyi ihe, adesklesne chu
hoola atityine ihe.

ST. MARK XIY.

69

44. Ooh yaghi atu oochu ayehtii yayiooiih
mehyachanitsiyi, toowe ehtieh, Ootayatasihchassine wohtsiewohzyesi, ayila ayi; nintahtyeh,
kahchu yitai tahtyeh tyekeh.
45. Itetyeh nooja ate, tsiwohzon yatsi anaatahlu, toowehchu ehti, Metihi, metihi; kwa
yuncliighaclii.
46.
Kwa kiyinchut, kahchu nighadintyi.
47. Ooh hligi ayiti naghatehyane tapyese
natyese ghayaghachut, kahchu nayatehul yakeotihchi taneghaotatyehchi metihi tyiyi, kahchu
yatsakhe tyeghihyitl.
48. Kwa Jesus ateyatetla, toowehchu yehti,
Ihla unoosi khataachila pyese intyesi yu mekachatayitli yu tala nisataghahtyelu ?
49. Naghaikyastaichii dzinee eonetye tyetachatlihi kwa oota taneghaodintihchoo, atu chu
nisatahtyiih : ahwole aduskles tyiyi tikewokyeli.
50. Kahchu aghanetye kiyechodestyetl, kah
chu taghoghadehsut.
51. Kwa ehlaiti uskye yakehtehtla, atetakhatooh chatachi takulli intyedi ati; kwa uskyegoone kiyinchut:
52. Kwa kyechodyesha ayi chatachi takulli,
kahchu tghihklah intyedi. *
53.
Kwa Jesus otsighatehtyi o-ochi tane~
ghaotatihchi metihi tyiyi atindi: kwa ayiti
atghe yeghati taneghaotatyehchi metihi tyiyi
hoolaatitine chu. adusklesne chu.
54. Kahchu Peter tontyetsi otsi yakehteh-*

70

ST. MARK XIV.

klalon, koole taneghaotatyehchi metihi kwa
tsi: kwa yakasatah keotichne, na-itziluh khoon
tsi.
55. Kahchu taneghaotatihchne metihi tyiyi
atghe chu tsiwatilhne oohatakyet otsi ayi ilie
atu oochu akiyuti Jesus kizuheli; aliwole atu
oontsutli ohwiooh.
56. Ayi ike natlone ketseli hakelie atlilagkatati, akwole atu kleoontye tagkasoocka
ootike.
57. Ook takkine nighintyetl, kahcliu atu
tyeswe akiyehti, toowe ghati ike,
58. Tasitsukiih atyakeke, Chahtehaooslyeasi
tidi tyetackatliki kwa tyiyi atsila kila ike,
kahcku taiti dzinee aoocka ate acku nao-osiasi
atu kila ihe.
59. Akwole aghatane chu koosoockawotilii
atu hleoontye.
60. Kwa o-ochi taneghaotatyechi metiki tyiyi
ookaze nazut, Jesus tsi taoontya yekti toowe
ehti ike, Atu atyetunatla la ? ye ihea ayi cliakte
anaghatya oontye ?
61. Ahwole atu wotih, atula kehe cku atik.
Kakcku o-ochi taneghaotayekcki metihi tyiyi
taoontya yehti, kahchu toowe yehti, Kuni la
ayi Christ, ma Chue Moohchuootaya ?
62. Kwa Jesus toowe ehti, Suni ayi: kah
chu wahyesi tezoo Chue satah noohtichintye
mehnatsutsutti, kahchu yahchityeslia khoos
vataihchi.

ST. MARK XIV.

71

63. Kahchu tafteghaotatyehchi metilii tyiyi
tanatunne yaghinchil, kahchu toowe ehti, Ye
ootaihchi a soochawochatihi khasootiti aoontye ?
64. Ootahtsukiih mehe atachochililiti : naghani ta kootahtya ? Kwa aghanetye kooye
hlagliatati tsazuheli gha.
65. Kwa tahkine tyekookeghizek, kahchu
yani aghataghighat, kahchu nakiteghul, kahchu
toowe kiyehti ihe, atanataihchi woka at$wonati :
Kwa keotihchne nakiteghul taghila tyiyi ihe.
66. ^ Kwa Peter yiyue nito kwa otyiyi ti
ati, yuniya ehlaiti taneghaotatyehchi metihi
tyiyi yawoai tsege:
67. Kwa ya-i tsi Peter naitziluh, yakaitghah,
toowehchu ehti,, Kahchu nuni chu mehtintyetliih Jesus Nazareth otsi tatyezutti.
68. Ahwole atu a kooti, toowe ehti ihe, Atu
atawosti, kahchu atu atasuk atintya kehe. Kwa
haclesha tyinta weswatih otsi; kwa tihchok
tayidze otyesta.
69. Kwa keotihche tsege kahchu ya-ih, kah
chu toowe tyiyehti ayine ieti nehyane, Taila
ehlaiti ayine tsi.
70. Kwa kahchu atu koo ooli ehtilon. Kah
chu kluhtai ayine ayite nazati, toowehchu ghati
Peter, Nuni nooklya ehlaiti aghatane tsi, ayi
ihe Galilaean nali, kahchu kooh nakasse atih.
71. Ahwole ketseliooh wotyihi zon ohtye
ootatyehch, toowe akehe, Atu atesti tai teze
mamawotahtyehchi.

72

ST. MARK XV.

72. Kwa onkye tihchok tayidze otyesta. Kwa
Peter kyechetehti yaghi sa Jesus ayehtiii, Atu
ka ootihoo tihchok tayidze onkye tghakooh
oochit sootahoontyezi. Kwa hlilon ayiti indi
ootinta, nachaihchahli.

Tghachyestla keneti Mahcheti matgha.
XTWA kwete hatlindo aoocha taneghaotatyehchi
metihi tyiyine aghanetye ehlakehe tsiwohzon tsiwowatilh hoolya atitine chu adesklesne
chu hlito aonetye gha tsiwoghatsihi ihe ayi ch$i,
kwa Jesus tahkiyagheskluh, kahchu achukedehtyi, kwa kikahnihtyi, Pilate.
2. Kahchu Pilate taoontya yehti, Nunila
o-ochi koometihi tyiyi nalila Jewne gha ? Kah
chu ateyatetla toowehchu yehti, Kooh tintya
oontye.
3. Kahchu taneghaotatyehchi metihi tyiyine
chahte akiyehti ooli nation ihe: ahwole atulakehe atyeta-i.
4. Kwa Pilate kahchu taoontya yehti, toowe
ehtie? Atu lakehe atyetanatla la ? nea taitya
ooli ihe chahte anaghahti.
5. Ahwole Jesus zon atu la kehe atyeta-ih
kwaka; kwa Pilate kawoolih.
6. Ooh ayi kwelachayihi ehlaiti yezookeh
ninkho kwechehtyesne, ooli assine nioonunisit
assine.
7. Ayiti hligi aliih Barabbas ooyeih, ihkahtah

ST. MARK XV.

73

chaghesklu ayi yekatichii kwa akiyila indiootaunne, kootoo tane zehai ihe indiootatunne
ayiti.
8. Kwa natlone ohtye oghatyesta tyi yatsi
niooghanunisit kooli hakiyulihi gha kooh zon
hakooyilai ihe.
9. Ahwole Pilate ateyatetla, toowe ehti ihe,
Kooh kootahti la naghachituhsitisi Jewne o-ochi
koometihi tyiyi ?
10. Atawahtihi ihe taneghaotatyehchi metihi
tyiyine yataghintsutti ihe mihe incho-otsa-i.
11. Ahwole taneghaotatyehchi metihi tyiyine
kichinaghatyeh tanene, otaihai koochitootsittih
Barabbas.
12. Kooh kahchu Pilate ateyatetla toowehchu
yehti, Takootahtya aooslihasi kooh yachi o-ochi
koometihi tyiyi Jewne woyi ?
13. Kahchn toowe hakehe oghatesta, Klaniaitih ninihtyeh.
14. Kahchu Pilate toowe ehti, Ye tahtye
ketselihoo atyuntye ? Kahchu ootaihchi o-ochi
oghatesta, Klaniaitih ninihtyeh.
15.
Kwa Pilate tane gha kasootati chatupisha gha, yakahniniooh Barabbas assi, kahchu
Jesus taghinchut, yakhataghitoos, klaniai nichuhtyelu.
16. Kwa simakanisne otsighatehtyi tsiwatyehli kwa, Praetorium wotsatiti; kwa tyeclii
kiyehti ihlakehe atghe simakanisne.
17. Kwa natunne taghaghintyi aghapai

74

ST. MARK XV.

tatulli ihe, kahchu kiyesklu o-ochi metihi tyiyi
chahte hoos chok chine ihe, kwa ita tsi gha
ghiooh,
18. Kahchu tyi yila ooghatthoon toowe, Yea
mehsuchanetyi, o-ochi kookaoonazut Jewne.
19. Kahchu nakidehul yetsi chokhaiye chok
ihe, kahchu kikighizek, kwa yatsitaghatsunne
ootooghanehzil yatsi nachusghataklih.
20. Kahchu kiyachatyetl atghe tatulli nighadinchus, kwa yanatunne taghintyetl, kahchu
ghooghatehtyi klaniai tih.
21. Kwa kitahnaghutsut ehlaiti Simon Cyrenian ali, ayi kwe noojai, tane natihti otsi
haclesha, kootgha Alexander chu Rufus chu,
tahchiyatyilyu klaniai.
22. Kwa nakiyintyi Golgotha tsi, ayi tsati,
Atsitsunne ooli te.
23. Kwa kiyayiooh tyewootoo chiche chok tu
mathuchunihklito myrrh: ahwole atu niyadiooh.
24. Kwa klaniai nikiyinti tsi yanatunne atatghahaistla kikaootehunni ihe, ye anetye teze
nitioolola.
25. Kahchu oolitah tghakooh mehooachanehoo awatazoo dzinee ooli klaniadi nikiyinti tsi.
26. Kwa achatyesklesi ayiti otsi chahteachatei
takehnichanikuchiih ookeh, O-OCHI KOOMETIHI TYIYI JEWNE.
27. Kahchu onkyetine chu klaniadi nighanihtye unoosine; ehlaiti noohtechintye, ooh
Migi chu oosklaghazihtye.

ST. MARK XY.
28. Acliudesklessi tyiyi tikenikyih, kook woti,
Kahchu metseline kali kechanehtyeh.
29. Ooh ayine kwegh.ati.lhne ayiti oontlochi
kiye sootatyihch, taghatsi ghaghado, toowehchu
ghati ihe; Gha, nuni chahta wonatla tyetachatlihi kwa tyiyi, kahchu aoonatla taiti dzinee,
30. Aghatinta, kahchu yuhchinootinta klaniai
tsi.
31. Aghatane chu o-ochi taneghaotatyech
nietihi tyiyine ontlonchi akiyehti ihe toowe
hlaghatati ihe adesklesne chu, Nayaghehta
achune chu: atai koochati atu aghatatah.
32. Oonka Christ o-ochi koometihi tyijd Israel
kwa hoote klaniai tsi noodoojai, wowoti khai
kahchu a kootaliti.
Oo ayi yakah klaniadi
vakah atii yatalihlon.
33. Kwa inchitakooh klodesha sa kehchi
ehalai koonaooizutooh, hatleke aoochaii tike
okehe kwa hlilon kalaketi klodesha sa kehchi
ehalai.
34. Kwa kalaketye sa kehchi ahalai klodesha,
Jesus otyesta takaseneodi, toowe ehti ihe, Eloi,
eloi, lama sabachthani ? ayi tsati ihe, Saghintai,
Saghintai, yehoo gha sechanila aoontye.
35. Ooh tahkine ieti nehyane, ooghatitsuk
tsi, toowe ghati, Nea, Elias kawotih.
36. Kahchu ehlaiti otsidehta, kahchu tsito
yeatatih atihih tayatehman sootakan chiche
tu ihe, kahchu nayiooh klokhayetgha, kahchu
yayxooh tuwoto gha, toowe ehti ihe, Atu
<sJ

76

ST. MARK XV.

kinditaghaha; oonka oohwoti Elias nayaghintyi
kha.
37. Kahchu Jesus otyesta ohtye ati, kahchu
matsinde kwa yecheli.
38. Kwa ayi hlichatinkatii tyetachatlihi kwa
otyiyi intyizon tghahkyehchi wotye ctegliinchil
yataihchi otis yiyue otsi.
39.
Kwa kootoo ayi simakunis metihi, ooghade nazutih, wa-i kooakehe otyesta, kahchu
yatsinde yechelihooh, toowe ehti, tyewotye tune
teze Nagha Tgha Chue ghilelon.
40. Ayiti oohwiliiih tsegene chu tontyetsi otsi
ookhaghanehtgha: atai chu iiti atiih Mary Mag
dalene, Mary chu ma James ooia etanoohlihi
kahchu Joses, Salome chu;
41. (Aghatane chu, Galilee atichi, kikehtyeshaii, kahchu ooli kooyaalih ine;) achune chu
natlone tsegoo yuhchi kooyehkyatehch ine
Jerusalem tsi.
42.
Kahkachi aoocha tsi, ayi ihe intyizon
dzinee tsi watsehlu ayi dzinee Manejitti dzinee
tsi ooli,
43. Joseph Arimathaea otsi tazehlu, tsatincha
tsiwatilh, atune chu ootakah ali Nagha
Tgha
o
o
nataghe, yuhchidesha, kahchu tadzye natsutih seooh Pilate kahkwiya, kahchu Jesus zi
ootakyet.
44. Kwa Pilate khawooli kwa tehtsalo ate:
kwa simakanis metihi tyechi yehti, taoontya
yehti tontyeto ghaite chu tehtsutiih.

ST. MARK XVI.

77

45. Kwa atawatih tsi simakanis metihi yatati,
tazi ghiooh Joseph.
46. Kwa ataghoola tsatache oocliu takulle,
kahchu nooyaghintyi, kahchu ayi tsatache ii
ihe yehtoonehtich, kahchu niyanihtyi natine
kwa oota tsyekas tayaghintyi, kahchu tsye
otsiyehail toosklahchi natine kwa.
47. Kwa Mary Magdalene kahchu Mary Joses
ma oohwa-ih nichanihtyinti.

Tghaehyestla keneti edzetaiti matgha.
TTwa Menejitti Dzinee kawohtzut tsi, Mary
^ Magdalene, kahchu Mary James ma kah
chu Salome, ataghaghila yu natunetgha tsehklutti, kwa yuhchighatatyel ate yu ihe kiyuhklukooh.
2. Kwa o-ochi hatse hatlindo ooli hatse dzinee,
koohnioonizutooh natine kwa otsighatestyetl sa
niiya tsi.
3. Kwa toowe hlaghatati, Mea tsye yughail
aoontye natine kwa tustla otsi ?
4. Kwa koo ookahanehtghachi, oogha-ih tsye
achuhchi nichunihailo : o-ochi ghinchai ihe.
5. Kwa kweghaghintyetlooh natine kwa oota,
kiya-ih ehlaiti uskye noohtichintye chisinchi
sata, tasata natyesooh makestue takulooh; kwa
oonighanintyetl.
6. Kwa toowe yehti, Atu oonighahtyel: Minkhanatgha Jesus Nazareth otsi tatyezutti, klaniai

78

ST. MARK XVI.

nichanihtyiii: tsitike ghinta-lh; atu chode ali:
nea nighanihtyintiii.
7. Ahwole ootahtah, yaotatichne tatahtih
Peter cliu naghaghadesha Galilee tsi: ayiti
wahiiissi, naghatatyakehe.
8. Kwa kwete khooghatastyetl, kahchu natine
kwa otsi tsintestyetl; yaghatilonlon ihe kahchu
khaooghali ihe: kahchu atuline atula kehe
akiyehti; oonighanintyetlon ihe.
9.
Kootoo Jesus niiyaii kwete hatse dzine
tsiwatselhu, hatse yuhniya Mary Magdalene, ayi
taiuchi atsinde metselihi yazi otsi hayateha-ii.
10. Kwa yatatilon ayine yehkyatehchiine,
tsukye atu yaghita zahtgha kahchu ghutsakooh.
11. Ooh ahatane, ooghatitsuk tsi ghata, kah
chu ya-ilon atu a kooghati.
12.
Ayi keh yuhniya achu akehe onketye
aghatane ihe, ghataihlu zahtgha, achu tike tsi
otsighataihlu.
o
13. Kwa kitati achune : kahchu am a kiyehti
ayine.
14. *[[ Atyechi yuhniya keneti ehlaiti matgha
aline ghiskye eghelita ootye, kwa yachiotatyech
majih oontooei kha kahchu yadzye natsutti
kha, atu a kiyuti ihe ayi yakehtghaii tsitike
nesta.
15. Kwa toowe yehti, Otsitahtyel tike okehe,
kahchu matatahti otich oochu anetye tane.
16. Ayi a kootyeti kahchu tumakechaghin-

ST. MARK XYI.

79

kliti nachawohtyezi; aliwole yaglii atu a koo~
tyeti chahta cliuleesi.
17. Kahchu tidi yachanahai yakeh ootoohsitassi ayine a kootine; Sindizi ihe kehchi gliakitoolelassi atsinde metselihi; ooghatootyehckassi atsoodi koondi ilie;
18. Nootuze nighatoohtyelassi; oolita tughato
ate chu azetse ahi, atu kootoohtihassi; kikatootiassi yatitihne, kwa oocliu nakiyaoohteissi.
19. Y Kwa Naghaghatai sakyedesutooh, yatai
otsi nichatihtyi, kahchu sata-ih Nagha Tgha
noohtichintye.
20. Aliwole achughatestyetl, tike okehe tane
chiwoghatihi ihe; Naghaghatai kahkeooghatihchoo, kahchu sa natsut oola kaootsooli chu
intghaninkhi. Amen.

Richard Clay & Sons,
BREAD STREET HILL, LONDON,

Bungay, Suffolk,
