A certain	Egia
Its bottom	Beheko hondoa
At the bottom of it	Beheko aldean
From its bottom	Hondotik
To its bottom	Atzean
On its bottom	Behealdean
On the bottom of the foot	Oinaren behealdean
Foot bottom	Beheko oina
Bottom of the water	Uraren hondoa
On the bottom	Beheko aldean
From top to bottom	Goitik behera
From the bottom up	Beheko aldetik gora
Dried up evergreen bough	Lehortu beti berdea bough
Evergreen boughs placed at the opening of a lair or den to seal it off	Boughs Evergreen lair bat irekitzean edo hura ixteko itzalita dagoenean
To bounce it making it dance	Dantzatuz errebotatzeko
To bounce it up into the air	Airean errebotatzeko
To bounce up and down	Gora eta behera botatzekoa
To be bouncing up and down	Gora eta behera errebotatzen egoteko
To bounce up and down dancing	Dantzan gora eta behera errebotatzeko
To bounce up	Noiz arte errebotatzeko
Boundary line	Mugako lerroa
To be bowed over	Honen gainean inklinatua izateko:
To bow	Okertzeko
Wagon bows	Wagon arkuak
Dark bow	Arku iluna
Mock orange bow	Mock arkua laranja
To tie a bow in it	Arku bat bertan lotzeko
Wagon bows	Wagon arkuak
To tie a bow knot in it	Bertan arku korapilo bat lotzeko
Mixing bowl	Katilu nahasketa
To box with each other	Kutxara bere artean
First Boy	Lehen umea
Boy! oh boy!	Mutila! a ze mutil!
It is braced	Bigungarria da
To start to braid it	Txirikordatzen hasteko
Brain sac	Garuneko zakua
Its brake	Balazta
Car brake	Auto-balazta
Wagon brake	Wagon balazta
To keep one's foot on the brake	Oina balaztan mantentzeko
Evergreen branches placed at the opening of a lair to seal if off	Evergreen adarrak lair bat irekitzean jartzen dira, itzalita badago zigilatzeko
Line of branches	Adar-lerroa
To brand it	Marka honi:
Fried Bread	Ogi frijitua
Blue piki	Piki urdina
White piki	Piki zuria
Bread	Ogia
To make paper bread	Paperezko ogia egiteko
To bake bread	Ogia laberatzeko
To get one's bread and butter from it	Ogia eta gurina lortzeko
To break	Hausteko
To break	Hausteko
To breakaway from each other	Batak bestea hausteko
To break	Hausteko
To break his heart	Bihotza hausteko
To break into a gallop	Gallop batean apurtzeko
To break it	Hausteko
To break it lengthwise	Luzera apurtzeko
To break them off one after another	Bata bestearen atzetik hausteko
To break it off	Itzalita hausteko
To break it off of it	Hausteko
To break it to pieces	Puskatan apurtzeko
To break its limbs	Gorputz-adarrak apurtzeko
To break loose and fall away	Aske utzi eta urruntzeko
To break loose and fall away	Aske utzi eta urruntzeko
To break off from it	Hausteko
To break off of it one after another	Bata bestearen atzetik hausteko
To break off piece after piece	Pieza piezaren ondoren hausteko
To break one's skin scratching	Larruazalaren urradura apurtzeko
Tobreak out on it	Tobreak bertan
To break out in a sweat	Izerdi batean lehertzeko
To break the spell on him	Sorginkeria hausteko
To break through	Honen bidez hausteko:
To break through the clouds	Hodeietatik apurtzeko
To break up clods	Koaguluak hausteko
To break up ice	Izotza hausteko
To start to break	Hausten hasteko
To share it with him by breaking it apart	Harekin partekatzeko, aparte apurtuz
To share it with him by breaking it apart	Harekin partekatzeko, aparte apurtuz
Breast area	Bularraren azalera
False breast	Bular faltsua
Having one breast missing	Bular bat falta da
Tip of the breast bone	Bularreko hezurraren punta
To be unable to get one's breath	Arnasa hartzeko gai ez izateko
To get one's breath back	Baten arnasketa berreskuratzeko
To get one's breath back	Baten arnasketa berreskuratzeko
To get out of breath and start coughing	Arnasketatik atera eta eztul egiten hasteko
To get short of breath	Hatslaburra lortzeko
To breathe hard	Gogorra arnasteko
Breathe in	Arnastu
To take a breath	Arnasa hartzeko
To breathe in	Arnasa hartzeko
To breathe back out	Kanporako itzulerako arnasa hartzeko
To breathe it in one time after another	Beste denbora baten ondoren arnasa hartzeko
To be breathless	Hatsik gabe egoteko
To bridge it with them	Haiekin zubia egiteko
Bridge of the nose	Sudurreko zubia
Silver bridle	Zilarrezko bridlea
To brighten back up	Berriz ere noiz arte argitzeko
To brighten it	Argitzeko
To bring it into the world	Mundura ekartzeko
To bring it out	Kanpora ateratzeko
To be brought down in it	Bertan behera eramateko
To be brought out one load after another	Karga bat beste baten ondoren ateratzeko
To be bringing	Bidean egoteko
To bring him by plane	Hegazkinez ekartzeko
To bring him by water	Uretatik ekartzeko
To bring into being	Hona ekartzeko
To bring it to life	Bizitzara ekartzeko
To bring him back to life	Bizitzara itzultzeko
Brink of a precipice or rock ledge	Arrokazko prezipitazio edo erlaitz baten ertza
On the brink of the precipice	Prezipitazioaren ertzean
Up to the brink of the precipice	Prezipitazioaren ertzeraino
From the brink of the precipice	Prezipitazio-ertzetik
Toward the brink of the precipice	Prezipitazioaren ertzerantz
Along the brink of the precipice	Prezipitazioaren ertzean
Brink of the canyon	Kanoiko brinka
To get	Lortzeko
To be this broad	Zabala izateko
It is comparatively broad	Oso zabala da
It's too broad	Zabalegia da
Quite broad	Nahiko zabala
To broil it	Harentzat
To keep him broke	Puskatuta mantentzeko
Whisk broom	Whisk erratza
To be his or her blood brother or sister	Anai-arreba edo odol-arreba izatea
They are my blood brothers and sisters	Nire anai-arrebak dira
One's blood brothers or sisters	Anai-arrebak
One's blood brother or sister	Odolaren anaia edo arreba
One's older brother	Baten anaia zaharrena
One's younger brother	Baten anaia gazteena
We brothers and sisters together	Anai-arrebak elkarrekin
His brother	Anaia
Wife's brother	Emaztearen anaia
Husband's brother	Senarraren anaia
Wife's sister's husband	Emaztearen arrebaren senarra
Husband's sister's husband	Senarraren arrebaren senarra
To turn brown	Marroia biratzeko
To turn it yellowish-brownish	Hori-arrexka bihurtzeko
To stain it brown	Orban marroirako
To bruise oneself	Norbera arrabotatzeko
To become bruised	Arrabotatzeko
To have a bruise	Brisea izateko
Clothes brush	Arropa-eskuila, eskuila
Hairbrush	Ile-eskuila
Paintbrush	Paintbrush
Scrub brush	Erratza, eskuila
Steel brush	Altzairuzko eskuila
Shoe brush	Zapata, eskuila, eskuila
Brushes made of sharpened sticks for the drawing of intricate designs by the Singer	Palo zorrotzez egindako pintzelak, Singer-ek korapilatutako diseinuak marrazteko
To have a close brush with death	Heriotzarekin hurbileko pintzela izateko
To brush against him	Haren kontra eskuilatzeko
To brush against it	Haren kontra eskuilatzeko
To brush against him	Haren kontra eskuilatzeko
To brush against him	Haren kontra eskuilatzeko
To brush it	Garbitzeko
To brush one's hair	Ilea orrazteko
To brush it off of it	Handik kanpo eskuilatzeko
To brush it off oneself	Bere burua garbitzeko
Brush it away	Garbitu urrutira
To brush it inside	Barruan garbitzeko
To brush away evil	Gaitza ezabatzeko
To brush her hair	Ilea garbitzeko
To brush one's hair	Ilea orrazteko
To brush them	Eskuilatzeko
To start to brush it	Garbitzen hasteko
Brushing procedure in Evil Way Chants	Evil Way Chants-en arrabotatzeko prozedura
To form bubbles	Burbuilak sortzeko
To make it bubble	Burbuila egiteko
To go bucking along	Bucking-ean barrena joateko
To come back bucking	Bucking-era itzultzeko
To go bucking as far as	Bucking-era joateko
To come out bucking	Bucking-etik irteteko
To come up bucking	Bucking-era iristeko
To go bucking away out of sight	Bistatik urrun bucking-a egiteko
To go bucking into	Bucking-era joateko
To disappear bucking	Bucking desagertzeko
To start to buck	Buck-ekin hasteko
To start bucking along	Bitartean bucking-ean hasteko
Lard bucket	Lardeko kuboa
Metal bucket	Metalezko ontzia
Buckskin horse	Buckskin zaldia
Buckskin lariat	Lariat Buckskin
Buckskin leggings	Leggings Buckskin
Buckskin shirt	Buckskin atorra
Buckskin shoestrings	Buckskiren kimuak
Buckskin  stockings	Buckskiren galtzerdiak
Buckskin strip	Hebilla-zerrenda
Buckskin thong	Buckskin tanga
Buffalo hide	Buffalo ezkutatu
Buffalo mane	Mane mane buffaloa
Buffalo robe	Buffalo robea
Black bug	Bug beltza
Sucking bug	Sukkinga bug
Plant bug	Bug-eko instalazioa
Red-headed bug	Buru gorriaren akatsa
Black-headed bug	Buru beltzeko akatsa
Round bug	Akats biribila
Striped bug	Striped bug
Stink bug	Stink bug
Tumbleweed bug	Errorea etzanda
To bug each other	Elkarri iruzur egiteko
Baby buggy	Buggy haurtxoa
To build a bridge across it	Bertatik zubia eraikitzeko
To build a conical hogan or tipi	Sua edo tipi konikoa eraikitzeko
To build a fence	Hesi bat eraikitzeko
To build a fenced enclosure	Esparru itxi bat eraikitzeko
To build a circular fence	Hesi zirkularra eraikitzeko
To be building a fence	Hesi bat eraikitzeko
To build a fire	Sua egiteko
To build a fire under it	Azpian sua egiteko
To build it back up	Berriro eraikitzeko
To build a hogan	Sua egiteko
To start building a hogan	Sua eraikitzen hasteko
To be built	Eraikitzeko
To be built again	Berriz eraikitzeko
Two story building	Bi solairuko eraikina
Alongside the building	Eraikinaren ondoan
To have a bulge	Bulge bat izateko
To twirl the bull-roarer	A twirl bull-roarerra
To bum it from him	Ateratzeko
To go to various places bumming things	Zenbait leku bumming-etara joateko
To bump one's hand against it	Eskua haren kontra jotzeko
To bump together	Bump-erako, elkarrekin
To get a bump	Bump bat lortzeko
To bunch them	Buncherako, haiek
There's a bunch of them	Horietako asko daude
To tie it in a bundle	Pakete batean lotzeko
It's all bunk	Dena da litera
It's bunk	Litera da
Bunk	Bunk Bunk
To burgle it	Iseka egiteko
To burn into it	Bertan erretzeko
To burn it	Erretzeko
To burn oneself	Norbera erretzeko
To burn oneself with steam	Lurrunez erretzeko
To burn oneself slightly	Pixka bat erretzeko
To burn it out	Kanporantz erretzeko
To burn out	Kanporantz erretzeko
To burn out horizontally	Horizontalki erretzeko
To be burning along	Denbora honetan erretzen egoteko:
To be burning	Erretzen egoteko
To have one's crops burned	Laboreak erretzeko
To hollow it out by burning	Erretzeagatik uxatzeko
To make it burn	Erretzeko
To pull it through his hand burning him	Eskuz botatzeko, berak su hartuz
To start to burn	Erretzen hasteko
To burp up	Noiz arte erretzeko
To burp it	Lurperatzeko
Wild burro	Asto basatia
To burrow	A burrow
To be burrowing	Burrowing izateko
To crawl into a burrow	Gordeleku batean ibiltzeko
To fall into a burrow	Gordeleku batean erortzeko
To go into a burrow	Gordeleku batera joateko
To start to burrow along	Hartzen hasteko
To burst into flames	Sugarretan lehertzeko
To burst them one after another	Bata bestearen atzetik hausteko
To bury in order to make it pliable	Ehortzi, malgu bihurtzeko
To bury it to make it pliable	Ehortzi, malgua izan dadin
To bury it to make it pliable	Ehortzi, malgua izan dadin
To be buried in order to make it flexible	Ehortzi, malgu bihurtzeko
To be buried at sea	Itsasoan lurperatzeko
To be burned one after another	Bata bestearen atzetik erretzeko
School bus	Bus eskola
It's none of his business	Ez da bere negozioetako bat ere
Across the bust	Bustoaren bidez
To bust them one after another	Bata bestearen atzetik trabatzeko
To be busy	Okupatuta egoteko
To butcher it	Haragitzeko
To be butchering	Butchering izateko
To start to butcher	Harakinarekin hasteko
To start to butcher it	Haragitzen hasteko
To start to butcher it	Haragitzen hasteko
Butt end of a corn cob	Arto-zigarroaren amaiera
Pistol butt	Atzeko pistola
To become the butt of a joke	Txantxa baten atzean jartzeko
To be always butting	Beti butting izatea
To be great for butting	Handia izateko, butting-erako
To butt	A butt
To butt each other	Batak besteari eztula egitea
To have a butting match with him	Berarekin butting-partida bat izateko
To get one's bread and butter from it	Ogia eta gurina lortzeko
To butter him up	Gainean gurina emateko
His buttocks	Ipurmasailak
To be big-buttocked	Big-buttocked izateko
Button	Botoia
Buttons	Botoiak
To push a button	Botoi bat sakatzeko
To be bought from him	Erosteko
To make a buzzing sound	Soinu burrunba egiteko
To make a low pitched buzzing sound	Burrunba-soinu baxua egiteko
Passing by it	Bertatik pasatuz
By means of it	Haren bidez
Passing by each other	Bata bestetik pasatuz
By means of each other	Bestearen bidez
By him	Haren izenean
Over by it	Gehiago beragatik
By car	Autoz
By train	Trenez
By oneself	Norberaren izenean
By-and-by	By-and-by
To make a cache	Cachea egiteko
Barrel cactus	Upel-kaktusak
Crimson Barrel cactus	Crimson upel-kaktusak
Chandelier cactus	Chandelier kaktusak
Cane or tree cactus	Kanabera edo zuhaitz kaktusak
Saguaro cactus	Saguaro kaktusa
Smooth cactus	Kakts leuna
Prickly pear cactus	Udare-kaktusak
Cactus having awl-like thorns	AWL motako arantzadun kaktusak
Cactus brush	Kaktus-eskuila
Cactus picker	Cactus picker
Cactus fruit	Kaktusaren fruta
To have a Caesarian section	Caesarian sail bat izatea
In the café	Kafean
To run a cafe	Kafea hartzeko
Puberty cake	Pubertaroko pastela
Sacrificial cake	Hiltzeko pastela
To call each other insulting names	Beste izen iraingarri batzuei deitzeko
To call him	Deitzeko
To call it off	Itzaltzeko
To call one's own name	Norberaren izena deitzeko
To call oneself	Bere buruari deitzea
To call off their names	Izenei deitzeko
To be called	Deitzeko
To be called	Deitzeko
To be called off	Itzaltzeko
To be called thus	Horrela deitzeko
To engage in a name calling contest with him	Harekin egindako dei-lehiaketa batean parte hartzeko
To have a close call	Hurbileko dei bat izateko
To calm down	Lasaitzeko
To become calm	Lasai egoteko
Tin can	Lata
Beer can	Garagardoa
To be canned	Ontziratzeko
To cancel it	Ezeztatzeko
To be cancelled	Bertan behera uzteko
To appear as a candidate for office on the ballot	Bulegoan hautagai gisa agertzeko
Cotton candy	Kotoia, gozoki gozoa
Cane. 'akaz łikaní	Kanabera. 'akaz, ikaniera
Cane	Kanabera-kanabera
Stalking cane	Zela-kanabera
Male Smooth Cane	Ca?a Lisa gizona
Female Smooth Cane	Ca?a Lisako emakumea
To be hobbling along with a cane	Denbora pasatzeko, kanabera batekin batera
Canned tomatoes	Latako tomateak
Canned goods	Ontziratutako produktuak
To put up a canopy	Errezel bat jartzeko
To the canyon's edge	Kanoiaren ertzean
Into the canyon	Kanoian
Coonskin cap	Coonskin cap
Beaverskin cap	Beaverskin txanoa
Cap with a bill	Faktura bateko txanoa
Fur cap	Larruzko txanoa
Knit cap	Puntuzko txanoa
Old fashioned worker's cap	Langile zaharraren estalkia eginda
To lose the capacity to do something	Zerbait egiteko gaitasuna galtzea
It is ice-capped	Ice-capped da
To capsize	A capsize
To capsize it	Igotzeko
To capsize them	Igotzeko
Canvas-topped car	Canvas-topped autoa
Old abandoned car hulk	Hulk auto zahar abandonatua
To have a car race	Auto-lasterketa bat izateko
Horse carcass	Zaldi-karkasa
Playing card	Txartelera jolastea
To gamble with cards	Txartelekin jolasteko
Monte	Monte mendia
To play cards	Kartak jolasteko
To play five card cooncan	Bost kartatan jolasteko
To play ten card cooncan	Hamar karta jolasteko
To card	Txartelari
To card it	Kargatzeko
To start to card	Txartelarekin hasteko
To start to card it	Kargatzen hasteko
Uncarded wool	Artilea kardio gabe
To care for him	Hura zaintzeko
To take care of him	Hura zaintzeko
To take care of oneself	Bere burua zaintzea
To be left to be cared for	Norentzat utzi
To caress oneself	Bere burua laztantzea
Its caretaker	Zaintzailea
Junkyard caretaker	Junkyardeko zaintzailea
Cemetery caretaker	Hilerri zaintzailea
To be a carpenter	Arotza izateko
To carry him around it	Bere ingurura eramateko
To carry food around eating it	Janaria inguruan eramateko
To carry it out of bounds	Mugak ezartzeko
To carry the ball	Bola eramateko
To carry the rattlestick back and forth in the War Dance	Joan-etorriko rattlestick-a eramatea War Dance-n
To carry the rattlestick	Rattlestick-a eramateko
To carry the rattle stick	Sonajeroaren stick-a eramateko
To carry the spray	Spray-a eramateko
To carry them along part way at a time	Batera eramateko
To carry on a ceremony	Zeremonia bat egiteko
To carry on trade with him	Harekin merkataritza egitea
To carry on trade with each other	Merkataritza elkarren artean egiteko
To be carried apart	Aparte eramateko
To be carried away by it	Berak eramateko
To be carried away from it	Harengandik urrun eramateko
To be carried on	Piztuta eramateko
To be carried out by the wind	Haizeak egiteko
To be carrying it on	Piztuta eramateko
Milk carton	Esne-kartoia
Cartridge case	Cartridge kasua
Copper cartridge case	Kobrezko kartutxozko kutxatila
To cash it	Fakturatzeko
To cash in	Ordainketa hemen egiteko:
To have a cast put on it	Bertan banaketa egiteko
To put a cast on it	Banaketa bat jartzeko
To cast for it	Horretarako
To cast a death spell on him	Haren gainean heriotza-sorginkeria botatzeko
To cast a spell over him	Hari sorginkeria egiteko
Cat's cradle	Katuaren sorlekua
Cat food	Katuentzako janaria
To catch cold	Hotza hartzeko
To catch fire	Sua hartzeko
To catch hell	Infernua harrapatzeko
To catch him	Harrapatzeko
To catch	Harrapatzeko
To catch it	Harrapatzeko
To catch it	Harrapatzeko
To fail to catch it	Ez harrapatzeko
To get caught in the rain	Eurian harrapatzeko
To play catch	Harrapaketan jolasteko
To get caught in the rain	Eurian harrapatzeko
To get caught in a cloudburst	Cloudburst batean harrapatzeko
To get caught by darkness	Iluntasunak harrapatzeko
To get one's foot caught in it	Barruan harrapatuta dagoen oina lortzeko
It causes it	Arrazoia:
It is caused by it	Berak eragiten du
To cause him trouble	Arazoak sortzeko
To cause his death	Heriotza eragitea
It has a cavity	Barrunbe bat du
There is a cavity inside of it	Barrunbe bat dago barruan
It has a cavity leading into it	Bertan darama barrunbe bat.
The tooth has a cavity in it	Hortzak barrunbe bat du bertan
Dental cavity	Hortzetako barrunbea
Cedar wood	Zedro-zura
Rocky Mountain red cedar	Rocky Mountain zedroa gorria
Salt cedar	Zedro-gatza
Soft fibrous barklike cover on cedar	Zuntz-azal leuneko estalkia zedroaren gainean
To begin to celebrate boisterously	Boisterdly egiten hasteko
False mountain celery	Mendiko apio faltsua
Blood cell	Zelularen odol-zelula
Red blood cell	Odoleko globulu gorriak
White blood cell	Globulu zuriak
Cement blocks	Zementu-blokeak
Cemetery caretaker	Hilerri zaintzailea
Census takers	takerren erroldak
To take the census	Errolda hartu
Fifteen cents	Hamabost zentabo
Five cent piece	Bost zentaboko pieza
Ten cent piece	Hamar zentaboko pieza
Seventy five cents	Hirurogeita hamabost zentabo
In the center of the lake	Lakuaren erdian
Enemy Monster Blessing Way	Munstro etsaiaren bedeinkatzeko bidea
Game way Blessing way	Jolasteko modua Bedeinkatzeko modua
Mountain Peak Blessing Way	Mountain Peak Bedeinkazioa Way
Red Ant way	Ant modua sarea
Bíg Star Way	Estrella Bíg bidea
Way to remove Paralysis	Paralisia ezabatzeko modua
Moth Way	Moth Way
The Night Chant has the following subceremonies: Rock Center Branch	Gaueko kantuak azpizemonia hauek ditu: Rock Center Branch
Big Tree Branch	Big Tree Branch
Water Bottom Branch	Water Bottom Branch
Pollen Branch	Pollen Branch
Across the River Branch	Ibaiaren adarretik
White House Branch	White House Branch
Strings Across Way	Sokak Way-ren bidez
Big God Way	Jainko Handiaren bidea
Plume Way	Tamaina
Dog Way	Txakurraren bidea
Coyote Way	Koiotea
Raven Way	Raven Way
Wind Way	Wind Way
Navajo Wind Way	Navajo Wind Way
Chiricahua Wind Way	Chiricahua haizearen bidea
Hand Trembling Way	Trembling Way eskua
Eagle Way	Eagle Way
Bead Way	Bead Way
Awl Way	Awl Way
Red Ant Evil Way	Ant Evil Way sarea
Big Star Evil way	Big Star Evil way-a
Male Shooting Branch	Male Shooting Branch
Hand Trembling Evil Way	Trembling Evil Way eskua
Enemy Way	Etsaiaren bidea
Two went for Scalp way	Bi izan ziren Scalp formarentzat
Ghosts Way	Ghosts Way
Reared in the Earth Way	Lurraren bidean hezia
Enemy Monster Way	Munstro etsaiaren bidea
Game Way	Game Way
Game Corral Way	Corral Way jokoa
Ash blowing procedure in Evil Way Chants	Evil Way Chants-en errautsak puzteko prozedura
Ceremonial rites	Erritu zeremonialak
Basket made of jet	Jet bidez egindako otarrea
Braided wreaths tied on the patient as an aspect of certain ceremonials	Zenbait zeremoniatan, pazienteari lotutako koroa txirikordatuak
Black lava snake	Laba beltzeko sugea
Conductor of ceremony after first day of Ndáá'	Ndááren lehen egunaren ondorengo zeremonia-zuzendaria'
Equipment for the conduct of a ceremonial	Zeremonia bat egiteko taldea
Feathered cane	Kanabera lumaduna
Fire Ceremony	Su-ekitaldia
Fire Jumping Ceremony	Su-jauziaren zeremonia
Fire procession	Su-prozesioa
Infusion made with water and herbs used ceremonially	Ur eta belarrez egindako infusioa, zeremoniatan erabilia
Helper	Helper helperra
Hunchback	Hunchback
Intermediary	Bitartekaria
Male Smooth Cane	Ca?a Lisa gizona
Female Smooth Cane	Ca?a Lisako emakumea
The patient in 'Anaa'jí ceremony	Gaixoa 'Anaa'jí zeremonian
Prayerstick	Prayerstick
The kneading and molding of the body of the nubile girl in the puberty ceremony	Nubile neskaren gorputza oratzea eta moldatzea pubertaroko zeremonian
The ceremonial application of objects to patients	Pazienteei objektuak zeremoniaz aplikatzea
Spruce garment	Esprenda
Reed arrow	Reed gezia
To carry it to its final day	Azken egunera eramateko
To carry it to its final night	Azken gauera eramateko
To carry the rattle stick to him in the War Dance	Kaskabiloa War Dance-n eramateko
To carry on or perform a ceremony	Zeremonia bat egiteko
To conduct a test ceremony	Probaldia egiteko
To perform a ceremony over him	Hari buruzko zeremonia egiteko
To receive the rattle stick in the War Dance Ceremony	Gerra-dantzaren zeremonian zundaketa-makila jasotzeko
The smearing of meal across the patient's jaw just before the Dawn Songs	Janari-urratzea pazientearen masailezurraren bidez, Dawn Songs-en aurretik.
Whistle	Txilibitua
To chagrin one	Bat chagrinerako
Bicycle chain	Bizikleta-katea
Tow chaín	Tow txikia
Over-stuffed chair	Aulki overstuffed-a
Easy chair	Aulki erraza
Rocking chair	Aulki-mekanikaria
To be acting as chairman	Lehendakaria izatea
Blue or green chalk	Klariona urdina edo berdea
Red chalk	Klariona gorria
White chalk	Klariona
Yellow chalk	Klariona horia
To have a chance	Aukera bat izatea
To be looking for a chance to go	Joateko aukera bila joateko
To change its diaper	Pixoihala aldatzeko
To change one's mind about it	Baten burua haren gainean aldatzeko
To shortchange him	Laburtzeko
To make channels in it	Bertan kanalak egiteko
To have chapped lips	Ezpainak pitzatuta edukitzeko
Lightning charcoal	Ikatz-izpiak
To blackstreak it with charcoal	Blackstreak ikatzarekin egiteko
To blacken oneself with charcoal	Ikatzarekin belzteko
To start to streak him with charcoal	Ikatzarekin marratzen hasteko
To be in charge	Ardurapean egoteko
To charge him	Salatzeko
To charge him with it	Harekin salatzeko
To charge it	Kargatzeko
To charge it	Kargatzeko
To be charged with it	Harekin kargatzekoa
To put him in charge of it	Bere kontura jarri
To take charge of him	Hartaz arduratzeko
To take charge of them	Haien ardura hartzeko
To take charge of it	Hartaz arduratzeko
To chase him to it	Haren atzetik segitzeko
To chase them to it	Haren atzetik segitzeko
To chase a car	Auto baten atzetik ibiltzeko
To chase it as far as	Noraino segitzeko
To chase it over a cliff	Itsaslabar baten gainean segitzeko
To chase them out	Kanpoan segitzeko
They chatter together	Chatterra, elkarrekin
To check them over	Honi buruz berrikusteko:
To check it for him	Egiaztatzeko
To check his oil	Olioa egiaztatzeko
Personal check	Txeke pertsonala
To write a check on it	Bertan txeke bat idazteko
Dimple of cheek	Masailezurra
The fleshy protrusions on the interior side of a sheep's cheek	Protrusio mamitsuak ardi baten masailaren barruan
Purple wild cherry	Gerezi basati purpura gerezia
Across the chest	Bularrean zehar
Around the chest	Bularraren inguruan
Internal organs of the chest	Bularraren barneko organoak
To chew its cud	Kuda murtxikatzeko
Chicken Pull	Chicken Pull
Chicken louse	Louse oilaskoa
Chicken egg	Oilasko-arrautza
Their chief	Nagusia
Peace Chief	Bake burua
War Chief	Gerrako burua
To be going to have his child	Semea izateko
Younger generation of children	Haur-belaunaldi gazteena
Present generation of children	Haurren egungo belaunaldia
School age children	Eskola-adina, haurrak
Beginning school children	Eskolako haurrak hasten
To have no children	Seme-alabarik ez izatea
Green chile	Txile berdea
Hot yellow chile peppers	Txileko piper hori beroak
Red chile	Txile gorria
Chimney pipe	Hodi-tximinia
Across the jaw and chin	Barailatik eta kokotsetik
Surface of the lower jaw and chin	Beheko masailezurraren eta kokotsaren azalera
Tip of chín	Txin-punta
Under the chip	Txiparen azpian
To chip out a roadway	Errepide bat baztertzeko
Wood chisel	Zurezko zizela
To choke	Chokerako
To choke on it	Bertan txoke egiteko
To nearly choke	Ia herstura
To choke him	Itotzeko
To choke it to death	Heriotzarekin itotzeko
To choose them	Hautatzeko
To chop it off	Kanpoan mozteko
To chop it nut	Azkoina mozteko
To chop off a piece of it	Pieza bat ebakitzeko
To chop off a piece for him	Beretzat pieza bat ebakitzeko
To chop out pieces	Piezak ebakitzeko
To chop off its branches	Adarrak mozteko
To chop it to a point	Puntu bakarreko chop-erako
"To be a ""chow-hound"	"Chow-hound" bat izatea
