I've bought a car	kotxe bat erosi dut
they were reduced to begging in the streets	kalean eskean bukatu zuten
she's been made redundant	lanetik bota dute
my doctor referred me to a specialist	medikuak espezialistarengana bidali ninduen
he refused to discuss the matter	uko egin zion arazoa eztabaidatzeari
to regain one's balance	oreka berreskuratu
to regain consciousness	nor bere senera etorri
the weather was terrible but we carried on regardless	eguraldia izugarri txarra zen, baina hala ere aurrera jarraitu genuen
I'll do it regardless of your opinion	zure iritzia edozein delarik ere, egin egingo dut
in the region of five kilos	bost bat kilo, bost kilo inguru
in the region of five kilos	bost bat kilo, bost kilo inguru
the hotel register	hoteleko erregistroa
electoral register	hautesleen zerrenda
give free rein to your imagination	askatu zure irudimena
she's taken the reins of the house	etxeko agintea hartu du
he was reinstated in his post	lehen zuen lanpostua itzuli zioten
crime in this area is related to drug abuse	auzune honetako delinkuentzia lotuta dago drogazaletasunarekin
are you related to Margaret?	Margareten ahaidea zara?
close relatives	ahaide hurbilak
these comments are not directly relevant to this enquiry	azalpen hauek ez dute zuzeneko loturarik ikerketa honekin
these days we rely heavily on computers to organize our work	gaur egun ezinbestekoak zaizkigu ordenagailuaklana antolatzeko
he doesn't rely on anybody	ez da inorekin fidatzen
these days we rely heavily on computers to organize our work	gaur egun ezinbestekoak zaizkigu ordenagailuaklana antolatzeko
he doesn't rely on anybody	ez da inorekin fidatzen
she remarked how tired I was looking	oso itxura nekatua nuela esan zuen
I can't remember his name	haren izena ez dut gogoan (ez zait gogoratzen)
remember to close the door	gogoratu atea ixteaz
I remember reading this book	gogoan dut liburu hau irakurri izana
as far as I can remember	oroitzen naizenez
in remembrance of those killed in the war	gerran hildakoen oroipenean
that smell reminds me of France	usain horrek Frantzia oroitarazten dit
this style is reminiscent of Proust	idazkera honek Proust gogorarazten du
after the argument, he was filled with remorse	ika-mikaren ondoren, harrak janda zuen barrena
he came to repent his hasty decision	damutu zitzaion presaka hartutako erabakia
I repent of what I did	damu dut egin dudana
they have reportedly decided to split up	banantzea erabaki omen dute
she's the reputed author of the book	liburuaren ustezko egilea da
she is reputed to be rich	aberatsa omen da
this book is required reading for the course	liburu hau derrigorrez irakurri behar da ikastaro honetan
she closely resembles her sister	bere ahizparen antz handia du
I deeply resented her criticism	izugarri mindu ninduen haren kritikak
this cream is water-resistant	krema honek ura jasaten du
why are you so resistant to change?	zergatik zaude aldaketaren hain kontra?
they felt obliged to resort to violence	behartuta sentitu ziren indarkeriaz baliatzera
they felt obliged to resort to violence	behartuta sentitu ziren indarkeriaz baliatzera
they went to their respective beds	bakoitza bere ohean sartu zen
Mike is responsible for designing the entire project	Mikek du proiektu osoa diseinatzeko ardura
the patient is not responsive to treatment	gaixoak ez dio tratamenduari erantzuten
I had to restrain myself from kicking him	ostiko bat ez ematearren neure burua kontrolatu behar izan nuen
this product retails at 5 euros	produktu honen jendearentzako salmenta-prezioa 5 eurokoa da
a retirement pension	erretiro-pentsioa, erretreta-pentsioa
she retraced her steps towards the house	etorritako bide beretik itzuli zen etxera
teacher retraining programme	irakasleak birziklatzeko programa
he was lost in (a) reverie and didn't see her	bere gogoetetan murgilduta zegoen eta ez zuen ikusi
meat is rich in proteins	haragia aberatsa da proteinatan
we got rid of all the old furniture	altzari zahar guztiak bistatik kendu genituen
rid us of evil	libra gaitzazu gaitzetik
we got rid of all the old furniture	altzari zahar guztiak bistatik kendu genituen
rid us of evil	libra gaitzazu gaitzetik
corruption was rife	ustelkeria ohikoa zen
Universal Declaration of Human Rights	Giza Eskubideen Deklarazio Unibertsala
it is not right to condemn Jews as infidels	ez da bidezkoa juduak sinesgabeak direla aldarrikatzea
that's right	halaxe da
you're right about it	horretan arrazoi duzu
at the right moment	une egokian
he's a right idiot	ergel hutsa da
right here	hementxe bertan
right in the middle	erdi-erdian
she crashed right into the tree	bete-betean jo zuen zuhaitza
I'll be right back	berehala itzuliko naiz
right away	berehalaxe
all right!	ados!
Universal Declaration of Human Rights	Giza Eskubideen Deklarazio Unibertsala
the right-hand side	eskuineko aldea
she's right-handed but she eats with her left hand	eskuina da baina ezkerrarekin jaten du
rising values	goranzko balioak
rising tide	itsasgora
to be at risk	arriskuan egon
to take a risk	arriskatu
to run the risk of	-t(z)eko arriskua izan
they robbed him of his clothes	jantzi guztiak lapurtu zizkioten
to rob a bank	bankuan lapurreta egin
the shop has been robbed many times	denda horretan askotan egin dute lapurreta
the Rocky Mountains	Mendi Harritsuak
Roman Empire	Erromatar Inperioa
Romance languages	hizkuntza erromanikoak
to go through the roof; to hit the roof	sutan egon/jarri, barrenak/odola irakiten izan, oso haserre egon/jarri
Tom and Nancy roomed together at college	Tom eta Nancy elkarrekin bizi ziren unibertsitatean
Tom and Nancy roomed together at college	Tom eta Nancy elkarrekin bizi ziren unibertsitatean
to take root	erroak egin/bota, errotu, sustraiak bota/eman, sustraitu
next time don't rope me in for such things	hurrengoan ez nazazu gauza hauetarako katigatu
next time don't rope me in for such things	hurrengoan ez nazazu gauza hauetarako katigatu
to play rough	gogor jokatu
to live rough	estalperik gabe bizi
all round	leku guztietan
round 10 o'clock	10ak aldera
to go round and round	jira eta bira ibili
we walked round to the back of the house	etxearen atzeko aldera joan ginen
to invite sb round	norbait etxera gonbidatu
the moon moves round the earth	ilargia lurraren inguruan biratzen da
to wander round the world	munduan barrena ibili
round May 10	maiatzaren 10aren inguruan
somewhere round here	hemen nonbait
they were waiting round the corner	kantoiaren beste aldean zeuden zain
he told us, in a very roundabout way, that he was thinking of leaving	itzulinguruka esan zigun joatekotan zela
his enthusiasm is starting to rub off on the rest of us	haren gogo bizia besteoi eransten hasi zaigu
she rubbed her hands in delight	eskuak igurtzi zituen pozarren
to rub sth clean	zerbaiti distira atera
his enthusiasm is starting to rub off on the rest of us	haren gogo bizia besteoi eransten hasi zaigu
it is rumoured that he has a lover	amorantea duelako zurrumurrua dabil
to run off with sth	zerbait lapurtu
we ran out of fuel	erregairik gabe geratu ginen
a deep melancholy runs through her poetry	malenkonia handia dario haren poesiari
to run off with sth	zerbait lapurtu
we ran out of fuel	erregairik gabe geratu ginen
a deep melancholy runs through her poetry	malenkonia handia dario haren poesiari
she's won the championship three years running	hiru urtez jarraian irabazi du txapelketa
my Spanish is a bit rusty	gaztelania ahaztuxea dut
to be stuck in a rut	betiko ohituran harrapatuta egon
the street is not safe for children to play in	kalea ez da haurren jolaserako toki segurua
the documents are safe	agiriak salbu daude
it's safe to say that...	ziurtasunez esan daiteke...
safe driver	gidari zuhurra
she gave me the letter for safekeeping	gutuna eman zidan, toki seguruan gorde niezaion
I can safely say that...	segurtasun osoz esan dezaket...
salad bowl	entsalada-ontzia
to salve one's conscience	kontzientzia deskargatu
I bought the same car as yours	zurea bezalako autoa erosi dut
we were looking for the same man	gizon berberaren bila genbiltzan
at the same time	aldi berean
she's much the same	berdin jarraitzen du
it's all the same to me	niri berdin zait
just the same, all the same	dena den, edonola ere
"Happy Christmas!" —; "(the) same to you!"	—;Eguberri on! —;baita zuri ere
he gave me five dollars, same as usual	bost dolar eman zizkidan, beti bezala
the sands	hondartza
I was sandwiched between two fat men on the bus	autobusean bi gizon lodiren artean joan nintzen estu-estu
I've saved almost £100 so far	orain arte ia 100 libera aurreztu ditut
we've been saving up to go to Australia	Australiara joateko aurrezten aritu gara
the judge has the final say	epaileak du azken hitza
let me have my say	utzidazu nire iritzia azaltzen
the experience left her scarred for life	esperientzia hark bizitza osoa markatu zion
she is scared of going out alone	beldurra ematen dio bakarrik irteteak
I was scared to death	beldurrak akabatzen nengoen
the meeting is scheduled for Friday afternoon	bilera ostiral arratsaldean egitekoa da
a pair of scissors	guraizeak
what's the score?	nola doa markagailua?
the final score was 2 all	azken emaitza biko berdinketa izan zen
a Scots accent	Eskoziako azentua
the kids were scouting around for wood for the fire	haurrak inguruak miatzen ari ziren, sutarako egur bila
the kids were scouting around for wood for the fire	haurrak inguruak miatzen ari ziren, sutarako egur bila
he got hurt in the scramble for the door	denek arrapaladan aterantz jo zutenean min hartu zuen
he has no scruples about shooting at thieves	lapurrei tiro egiteko ez du kezkarik
the sea was very rough	itsasoa oso haserre zegoen
by sea	itsasoz
by the sea	itsasertzean
to go in search of sth	zerbaiten bila joan
police searched the area for clues	poliziak inguruak arakatu zituen aztarna bila
she searched in vain for her passport	alferrik aritu zen pasaportearen bila
to get seasick	zorabiatu (itsasontzian)
the cow is in season	behia susara dago
the mare is in season	behorra iel dago
is this seat taken?	hartua dago eserleku hau?
take a seat, please	eser zaitez, arren
the second of June	ekainaren 2a
every second year	bi urtetik behin
he gave me a second chance	beste aukera bat eman zidan
he came second	bigarren iritsi zen
to travel second	bigarren mailan bidaiatu
they are sworn to secrecy	isilekoa gordetzeko hitza eman dute
a secret meeting	ezkutuko bilera
Secretary of State for Education	Hezkuntza Ministroa
Secretary of State for Education	Hezkuntza Ministroa
cross section	zeharkako sekzioa
the building is secure against thieves	eraikina segurua da lapurren kontra
see you tomorrow	bihar arte
see you soon	laster arte
see you later	gero arte
see you around	ikusi arte
seeing that he's been off sick all week he's unlikely to come	aste osoa gaixo eman duela ikusita, gaur ere ez dela etorriko esango nuke
he'll have to see about the electrical installation	instalazio elektrikoaz arduratu beharko du
they had enough fuel to see the winter out	negua igarotzeko nahikoa erregai zuten
we saw through him from the start	hasieratik igarri genituen haren asmo maltzurrak
see you tomorrow	bihar arte
see you soon	laster arte
see you later	gero arte
see you around	ikusi arte
seeing that he's been off sick all week he's unlikely to come	aste osoa gaixo eman duela ikusita, gaur ere ez dela etorriko esango nuke
he'll have to see about the electrical installation	instalazio elektrikoaz arduratu beharko du
they had enough fuel to see the winter out	negua igarotzeko nahikoa erregai zuten
we saw through him from the start	hasieratik igarri genituen haren asmo maltzurrak
he seems a nice man	gizon jatorra ematen du
they seem to know what they're doing	badirudi badakitela zertan ari diren
it seems to me that we'll win	irabaziko dugula iruditzen zait
"do we all agree?" —; "so it seems"	—;ados gaude denok? —;hala dirudi
water has seeped through the walls	paretetan zehar ura sartu da
selective criteria	hautatzeko irizpideak
selective waste treatment	gaikako hondakin-tratamendua
he's not his usual happy self today	gaur ez dago ohi bezain alai
he's quite his old self again	lehengo bera da berriro
the self	nia
send for the doctor!	deitu sendagileari!
send for the doctor!	deitu sendagileari!
my grandmother is going senile	amona txotxatzen hasi da
he was sentenced to 3 years	hiru urteko kartzela-zigorra ezarri zioten
he's been separated from his wife for a year	urtebete da emaztearengandik bereizi zela
domestic worker	etxe-langilea
to serve a summons on sb / to serve sb with a summons	norbaiti zitazio bat bidali
be set to leave by 10 o'clock	prest egon zaitez 10etan irteteko
we're all set for action	borrokarako prest gaude
he's set on getting a new car	auto berria erostea sartu zaio buruan
to set about doing sth	zerbait egiten hasi
the house is set well back from the road	etxea bidetik urruti samar dago
to set out to do sth	zerbait egiteko asmoa izan
to set about doing sth	zerbait egiten hasi
the house is set well back from the road	etxea bidetik urruti samar dago
to set out to do sth	zerbait egiteko asmoa izan
he found it hard to settle down to his work	zaila egiten zitzaion bere lanean arreta jartzea
he found it hard to settle down to his work	zaila egiten zitzaion bere lanean arreta jartzea
several letters	hainbat gutun
several of us	gutariko batzuk
they went their several ways	nor bere bidetik joan zen
to have sex	sexu-harremanak izan
the courtyard was shaded by high trees	patioa zuhaitz garaien itzalpean zegoen
we shall be there tomorrow	bihar han izango gara
I shall give back the money	dirua itzuliko dut
shall I send you the book?	bidaliko dizut liburua?
shall we go to the cinema?	zinemara joango gara?
they shall not pass!	ez dira pasatuko!
no one shall leave until I say so	inor ez dadila irten nik esan arte
thou shalt not kill	ez duzu inor hilko
to have a shave	bizarra moztu, bizarra egin
shaving brush	bizar-brotxa
she's thin	argala da
I don't like it, but she does	niri ez zait gustatzen, baina hari bai
The Titanic sank after she hit an iceberg	iceberg baten aurka jo ondoren hondoratu zen Titanic
that idea is sheer nonsense	ideia hori zentzugabekeria hutsa da
to take refuge	babestu, gorde
sweet sherry	jerez gozoa
a sherry glass	jerez-kopa
she shone a torch onto the path	esku-argi batekin argitu zuen bidea
she's in shock	shock bat izan du
to go shopping	erosketak egitera joan
to shop for food	janaria erosi
it was nothing short of a miracle	mirari hutsa izan zen
last year's figures were little short of disastrous	iazko estatistikak izugarri txarrak izan ziren
a short time ago	duela gutxi
to be short with sb	norbaitekin lehor jokatu
to be short of money	diruz eskas ibili
to be short on brains	motz samarra izan
we are running short of water	ura bukatzen ari zaigu
to cut short	brastakoan eten
he stopped short	bat-batean gelditu zen
it was nothing short of a miracle	mirari hutsa izan zen
last year's figures were little short of disastrous	iazko estatistikak izugarri txarrak izan ziren
shortly before midday	eguerdia baino lehentxeago
you shouldn't drink and drive	ez zenuke edanda gidatu behar
I should deny everything	nik dena ukatuko nuke
should I go too?	joango naiz ni ere?
she should be home soon	laster behar luke etxean
the bus should have arrived ten minutes ago	autobusak duela hamar minutu iritsi behar zukeen
I should like to come with you	zurekin joan nahi nuke
we decided that you should do it	zuk egin behar zenukeela erabaki dugu
"he tidied up afterwards" —; "so he should!"	—;gero dena garbitu zuen —;bai behar ere!
to give sth/sb a shove	zerbaiti/norbaiti bultzada bat eman
to shove sth in/out	zerbait bultzaka sartu/atera
my sweater shrank in the wash	jertsea garbitzean txikiagotu egin da
to shrug one's shoulders	bizkarrari eragin, sorbalda jaso/altxatu
shut up!	isildu!; ixo!
shut up!	isildu!; ixo!
the newspapers have shied away from investigating the story	egunkariak ez dira kontu hori ikertzera ausartu
the newspapers have shied away from investigating the story	egunkariak ez dira kontu hori ikertzera ausartu
Siamese cat	katu siamdarra
she feels sick	goragaleak ditu
to be/get sick	oka egin, bota, botaka egin, goitika egin
a sick joke	gustu txarreko txantxa
to take sb's side	norbaiten alde jarri
whose side are you on?	noren alde zaude?
that boy cast a sidelong glance at her	mutil hark zeharka begiratu zion
to go sightseeing	leku interesgarriak bisitatu
he signed on as a soldier	soldadu engaiatu zen
he has signed up for courses in English	ingeles eskoletan matrikulatu da
he signed on as a soldier	soldadu engaiatu zen
he has signed up for courses in English	ingeles eskoletan matrikulatu da
a silent student	ikasle isila
the report is silent on this issue	txostenak ez dio ezer gai horren gainean
the simple truth	egia hutsa
I haven't seen him since	geroztik ez dut ikusi
we've lived here since 1994	hemen bizi gara 1994tik
I haven't seen them since the summer	udaz geroztik ez ditut ikusi
it's ages since I saw you	urteak dira ikusi ez zaitudala
since you're so clever, you can do it yourself	hain azkarra zarenez gero, zuk zeuk egin dezakezu
he paused to allow his words to sink in	etenaldi bat egin zuen, entzuleek beraren hitzak barnera zitzaten
he paused to allow his words to sink in	etenaldi bat egin zuen, entzuleek beraren hitzak barnera zitzaten
good morning, sir	egun on, jauna
Dear Sir, ...	jaun hori:...
he sat down on the bed	ohean jesarri zen
she was sitting down	eserita zegoen
we had to sit through two hours of speeches	bi orduko hitzaldi-sorta irentsi behar izan genuen
he sat down on the bed	ohean jesarri zen
she was sitting down	eserita zegoen
we had to sit through two hours of speeches	bi orduko hitzaldi-sorta irentsi behar izan genuen
my house is situated near the station	nire etxea geltokitik gertu dago
there are only six cookies left	sei gaileta baino ez dira geratzen
she's six (years old)	sei urte ditu
a six-month prison sentence	sei hilabeteko espetxe-zigorra
she drew a six on the wall	seia pintatu zuen paretan
six-nil	sei eta huts
the sixth floor	seigarren solairua
he finished sixth in the race	seigarren bukatu zuen lasterketa
the school term ends on the sixth	eskola hilaren seian amaitzen da
he gave her a sixth of the total amount	kopuru osoaren seirena eman zion
sixty-one	hirurogeita bat
sixty-five	hirurogeita bost
the sixties	hirurogeiko hamarkada
to be in one's sixties	hirurogeitaka urte izan
to go skiing	eskiatzera joan
the bird skimmed over the waves	txoria hegan pasatu zen olatuen gainetik
to take up the slack	soka tenkatu
he ran slap into the tree	zuhaitza bete-betean jo zuen
sleepless nights	lorik gabeko gauak; gau galduak
it's sleeting	elurbustia ari du
"are you worried?" —; "only slightly"	—;kezkatuta zaude? —;apur bat baino ez
it's quite different	desberdin samarra da
I managed to slink away from the party	jaialditik ezarian alde egitea lortu nuen
the road slopes down to the beach	bidea hondartzaraino jaisten da
my watch is 5 minutes slow	nire erlojua 5 minutu atzeratuta dabil
a slowdown in economic growth	hazkunde ekonomikoa mantsotzea
her behaviour smacks of hypocrisy	zurikeria itxura hartzen diot haren jokabideari
her behaviour smacks of hypocrisy	zurikeria itxura hartzen diot haren jokabideari
she smelt that rose	arrosa hura usaindu zuen
the whole house went up in smoke	etxea erabat kiskali zuen suak
smoking is bad for you	erretzea kaltegarria da
to give up smoking	erretzeari utzi
no smoking	erretzea debekatuta
the mirror was smudged with fingerprints	ispilua hatz-markaz zikinduta zegoen
tears had smudged her mascara	malkoek errimela urtu zioten
a snap decision	presaka hartutako erabakia
all the best bargains were snapped up within hours	eskaintza on guztiak ordu gutxiren buruan saldu ziren
all the best bargains were snapped up within hours	eskaintza on guztiak ordu gutxiren buruan saldu ziren
it's snowing	elurra ari du
it was beginning to snow	elurra hasten zuen
we had a journey filled with surprise, adventure and so on	ustekabez, abenturaz eta abarrez beteriko bidaia izan genuen
we didn't knock so as not to wake them up	ez genuen atea jo haiek ez esnatzeko
so far so good	oraingoz dena ondo doa
she was so ill (that) she couldn't talk	hain gaixo zegoen, non ezin baitzuen hitz egin
I gave you a map so (that) you wouldn't get lost	mapa bat eman nizuen, gal ez zintezten
he's not so ugly	ez da hain itsusia
I've never seen so much money	ez dut inoiz hainbeste diru ikusi
I so love him	izugarri maite dut
I thank you so much	biziki eskertzen dizut
"I like cats" —; "so do I"	—;asko maite ditut katuak —;nik ere bai
so they say	hala diote
I think so	hala uste dut
if so	hala bada
so be it	hala bedi
is that so?	benetan?
she was ill, so she didn't come	gaixo zegoen, eta horregatik ez zen etorri
so she got up and said: ...	orduan altxatu eta esan zuen: ...
so, let's begin	ea, has gaitezen
so, that's it for today	tira, hau da dena gaurkoz
so, how was the trip?	eta? zer moduz bidaia?
we had a journey filled with surprise, adventure and so on	ustekabez, abenturaz eta abarrez beteriko bidaia izan genuen
we didn't knock so as not to wake them up	ez genuen atea jo haiek ez esnatzeko
so far so good	oraingoz dena ondo doa
she was so ill (that) she couldn't talk	hain gaixo zegoen, non ezin baitzuen hitz egin
I gave you a map so (that) you wouldn't get lost	mapa bat eman nizuen, gal ez zintezten
we arrived home soaking wet	etxera blai-blai iritsi ginen
stay here until you've sobered up	egon hemen mozkorra pasatzen zaizun arte
stay here until you've sobered up	egon hemen mozkorra pasatzen zaizun arte
on behalf of the so-called freedom	askatasuna delako horren izenean
solar system	eguzki-sistema
it rained for two solid weeks	bi astez etengabe bota zuen euria
the baby is not yet on solids	umeak ez du oraindik solidorik jaten
give me some money	emaidazu diru pixka bat
would you like some coffee?	kaferik nahi duzu?
I'll give you some books	liburu batzuk emango dizkizut
that was some years ago	duela urte askoko kontua da hori
some people think that...	zenbait jendek uste du...
some day	egunen batean
that's some party!	hori da festa, hori!
I made coffee, would you like some?	kafea egin dut, nahi duzu pixka bat?
some left early	batzuk goiz joan ziren
there are some thirty people	hogeita hamarren bat pertsona daude
I feel some better	hobetoxeago nago
she looked different somehow	ez dakit zergatik, baina desberdina zirudien
don't just stand there, do something!	ez gelditu hor, egin zerbait!
it tastes something like melon	meloi-zaporea edo du
have you gone mad or something?	erotu haiz ala?
60 euros and something	60 euro eta koska
there's something about him that I don't like	pertsona horrek atsegin ez dudan zerbait badu
my feet ache something awful	izugarrizko mina dut oinetan
we must get together sometime	egunen batean elkartu behar dugu
it is somewhat difficult	zail samarra da
it must be somewhere there	hor nonbait egongo da
let's go somewhere else	goazen beste norabait
she is somewhere around 40	40 urte inguru ditu
we need to find somewhere to sleep	lotarako leku bat topatu behar dugu
look here, sonny, you've got a lot to learn!	hara, gazte, asko daukak ikasteko!
as soon as possible	ahal bezain laster, lehenbailehen
call me as soon as you get home	etxera iritsi bezain pronto dei iezadazu
no sooner had she said it than she burst into tears	hori esan orduko negarrari eman zion
I would sooner you didn't smoke	nahiago nuke erreko ez bazenu
we'll be home soon	aurki iritsiko gara etxera
he died soon afterwards	handik gutxira hil zen
how soon will it be ready?	noizko egongo da prest?
see you soon!	laster arte!
as soon as possible	ahal bezain laster, lehenbailehen
call me as soon as you get home	etxera iritsi bezain pronto dei iezadazu
no sooner had she said it than she burst into tears	hori esan orduko negarrari eman zion
I would sooner you didn't smoke	nahiago nuke erreko ez bazenu
I'm sorry you are ill	sentitzen dut zu gaixo egotea
I'm sorry for what I did	damu dut egin dudana
I was genuinely sorry to be leaving university	pena handia hartu nuen unibertsitatea uztean
I'm sorry but I don't agree	barkatu, baina ni ez nago ados
I'm sorry to have to say that...	sentitzen dut hau esan beharra, baina...
he was a sorry sight	itxura negargarria zuen
did I stand on your foot? sorry!	oina zapaldu dizut? barkatu!
sorry? could you repeat the question?	nola? errepika dezakezu galdera?
we found a sort of shack	txabola-moduko bat topatu genuen
he's a tennis player of sorts	erdipurdiko tenislaria da
I sort of feel that...	neurri batean iruditzen zait...
"do you understand?" —; "sort of"	—;ulertzen duzu? —;hola-hala
he's sort of ugly	itsusi samarra da
what sort of food do you like?	ze janari-mota gustatzen zaizu?
flowers of all sorts	mota guztietako loreak
we found a sort of shack	txabola-moduko bat topatu genuen
he's a tennis player of sorts	erdipurdiko tenislaria da
I sort of feel that...	neurri batean iruditzen zait...
"do you understand?" —; "sort of"	—;ulertzen duzu? —;hola-hala
he's sort of ugly	itsusi samarra da
we arrived home safe and sound	onik iritsi ginen etxera
sound asleep	lo seko
to sound the horn	klaxona jo
south coast	hegoaldeko kosta
are there any tickets going spare?	badago txartelik soberan?
have you got a spare minute?	baduzu minutu bat?
to go spare	haserretu
after heavy rain, the river was in spate	euritearen ondoren ibaia oso hazita zihoan
after heavy rain, the river was in spate	euritearen ondoren ibaia oso hazita zihoan
the man is his adviser, so to speak	gizon hau da, nolabait esan, haren aholkularia
I've spoken to the manager about it	zuzendariarekin hitz egin dut horri buruz
the man is his adviser, so to speak	gizon hau da, nolabait esan, haren aholkularia
they aren't on speaking terms	ez diote elkarri hitz egiten
music composed specially for that festival	jaialdi hartarako bereziki konposaturiko musika
can you try and speed things up a bit?	saiatuko zara gauzak azkarxeago egiten?
can you try and speed things up a bit?	saiatuko zara gauzak azkarxeago egiten?
public spending	gastu publikoa
sphere of influence	eragin-eremua
I managed to carry three full glasses without spilling a drop	hiru edalontzi bete ekartzea lortu nuen, tanta bat ere isuri gabe
water had spilled out of the bucket onto the floor	ura ontzitik lurrera isuri zen
in spite of his age, he still leads an active life	urteak badituen arren, oraindik ere bizitza aktiboa darama
in spite of his age, he still leads an active life	urteak badituen arren, oraindik ere bizitza aktiboa darama
my parents split up last year	nire gurasoak iaz banandu ziren
my parents split up last year	nire gurasoak iaz banandu ziren
he sponges off/on his mother	bere amaren bizkar bizi da
to give sb a sporting chance	norbaiti irabazteko aukera eman
to be in the spotlight	arreta publikoa erakarri
to spy on sb	norbait zelatatu
the baby was squalling in its crib	haurra marruka ari zen sehaskan
to live in squalor	zikinkeria artean bizi
five square metres	bost metro koadro
we are square, you owe me nothing	kito gaude, ez didazu ezer zor
if you pay for both tickets now, I'll square up with you later	ordain ditzakezu bi txartelak zuk? gero egingo ditugu kontuak
four squared equals 16	4 ber 2 berdin 16
if you pay for both tickets now, I'll square up with you later	ordain ditzakezu bi txartelak zuk? gero egingo ditugu kontuak
the advice centre is staffed entirely by volunteers	aholkularitza-zentroko langile guztiak boluntarioak dira
the museum is trying to get rid of its staid image	museoa bere irudi serioa baztertzeko ahaleginetan dabil
at the top of the stairs	(eskailerak igo eta) goian
she fell down the stairs	eskaileretan behera jausi zen
we cannot afford to take risks when people's lives are at stake	ezin dugu arriskurik hartu jendearen bizia jokoan dagoenean
we cannot afford to take risks when people's lives are at stake	ezin dugu arriskurik hartu jendearen bizia jokoan dagoenean
it takes a lot of stamina to run a marathon	iraupen handia behar da maratoia egiteko
what does PS stand for?	zer esan nahi du PS-k?
I won't stand for it!	ez dut hori jasango!
my assistant will stand in for me while I'm away	nire laguntzaileak ordezkatuko nau kanpoan naizen bitartean
stand up!	altxa zaitez
we had arranged to meet up at the cinema at eight, but he stood me up!	zortzietan zineman elkartzekoak ginen, baina huts egin zidan!
what does PS stand for?	zer esan nahi du PS-k?
I won't stand for it!	ez dut hori jasango!
my assistant will stand in for me while I'm away	nire laguntzaileak ordezkatuko nau kanpoan naizen bitartean
stand up!	altxa zaitez
we had arranged to meet up at the cinema at eight, but he stood me up!	zortzietan zineman elkartzekoak ginen, baina huts egin zidan!
the troops are on 24-hour standby	armada edozein unetan esku hartzeko prest dago
he was put on standby for the flight to New York	New York-eko hegaldirako itxaron-zerrendan jarri zuten
the troops are on 24-hour standby	armada edozein unetan esku hartzeko prest dago
he was put on standby for the flight to New York	New York-eko hegaldirako itxaron-zerrendan jarri zuten
traffic in the northbound lane is at a complete standstill	iparralderako bidean zirkulazioa erabat geldituta dago
Kevin started us all off laughing	Kevinek barrez leherrarazi gintuen
to start out to do sth	zerbait egiten hasi, zerbaiti ekin
Kevin started us all off laughing	Kevinek barrez leherrarazi gintuen
to start out to do sth	zerbait egiten hasi, zerbaiti ekin
starter motor	abio-motorra
to die of starvation	gosez hil
state education	hezkuntza publikoa
police station	polizia-etxea
service station	zerbitzugunea
I hear your son's in the army -where's he stationed?	zure semea armadan omen dago; nora bidali dute?
she's staying on at university to do research	unibertsitatean jarraituko du ikerketa egiteko
we stayed up half the night talking	gau erdia eman genuen hizketan
to stay in bed	ohean gelditu
we stayed in the same hotel	hotel berean hartu genuen ostatu
to stay friends	lagunak izaten jarraitu
she's staying on at university to do research	unibertsitatean jarraituko du ikerketa egiteko
we stayed up half the night talking	gau erdia eman genuen hizketan
steadfast loyalty	leialtasun irmoa
turkey steaks	indioilar-xerrak
salmon steaks	izokin-xerrak
to steal sth from sb	norbaiti zerbait lapurtu
he stole into the bedroom	isil-misilka sartu zen logelan
by stealth	sekretuan, isil-gordean
our damp clothes steamed	gure jantzi hezeei lurruna zerien
church steeple	elizako kanpandorrea
the ship steered into port	itsasontzia porturantz abiatu zen
power steering	lagunduriko direkzioa
their disagreement stemmed from a misunderstanding	haien arteko desadostasuna gaizki-ulertze batek eragin zuen
to stem the bleeding	odoljarioa geldiarazi
their disagreement stemmed from a misunderstanding	haien arteko desadostasuna gaizki-ulertze batek eragin zuen
a pair of steps	zurubi bat
to step down from a position	kargu bati uko egin
he stepped off the bus	autobusetik jaitsi zen
ow, you stepped on my foot!	ai! oina zapaldu didazu!
to step down from a position	kargu bati uko egin
to stick one's tongue out	mihia atera
she didn't like the course but she stuck it out to get the certificate	ikastaroa ez zitzaion atsegin, baina azkeneraino eutsi zuen ziurtagiria lortzeko
his ears stick out	belarri irtenak ditu
to stick one's tongue out	mihia atera
she didn't like the course but she stuck it out to get the certificate	ikastaroa ez zitzaion atsegin, baina azkeneraino eutsi zuen ziurtagiria lortzeko
his ears stick out	belarri irtenak ditu
I'm really stiff after that bike ride yesterday	giharrak minduta ditut atzoko bizikleta saioagatik
to be bored stiff	asper-asper eginda egon
to be frozen stiff	hotzak akabatzen egon
she never stints on the food at her parties	beti eskaintzen du nahi adina janari bere festetan
we need to stock up the freezer	hozkailua zuzkitu behar dugu
we need to stock up the freezer	hozkailua zuzkitu behar dugu
on an empty stomach	ezer jan gabe, baraurik
on a full stomach	sabela beteta
to have an upset stomach	urdaileko mina izan
I can't stomach violent films	indarkeriazko filmak ezin ditut jasan
to have a stoop	konkorra izan
I'll stop by your house	zure etxetik pasatuko naiz
I'll stop by your house	zure etxetik pasatuko naiz
he was too tired to walk straight	zuzen ibiltzeko nekatuegi zegoen
come straight home	etorri zuzenean etxera
we've been working for 12 hours straight	12 orduz jarraian aritu gara lanean
strangely enough, I don't feel at all nervous	bitxia da, baina ez nago batere urduri
