 A certain	 léi 
To have protrusions sticking out everywhere	 deeshzha 
To hold it sticking up out	 hááł'á 
To play stick dice	 'adishdił 
To stick	 'íiłtł'į́į́h 
To stick him for it	 baa wooshbįįh 
To stick into it	 biih yí'á 
To stick into the water	 taah yí'á 
To stick it into him roughly	 'adinishhíísh 
To stick it into it	 baa 'iistsééh 
To stick it in under it	 biyaa 'iistsééh 
To stick it into it and be unable to get it out	 biih dinistsééh 
To stick it on it	 bídiishjeeh 
To stick it under it as a support	 bíyah niistsééh 
To stick it up out	 haastsééh 
To stick one's arms straight out	 k'ídíshnííh 
To stick one's finger or hand into it and get stuck	 biih dinishnííh 
To stick one's finger into his eye	 binák'ee dishchííd 
To stick one's finger into one's own eye	 'ánák'ee dishchííd 
To stick one's foot in the fire	 dzídzadis'éés 
To stick one's foot into the water	 taah dis'éés 
To stick one's foot into the dirt or ashes	 łeeh dis'éés 
To stick one's hand inside	 yah 'adishnííh 
To stick one's hand into the dirt or ashes	 łeeh dishnííh 
To stick one's hand into the fire	 dzídzadishnííh 
To stick one's hand into the water	 taah dishnííh 
To stick one's legs straight out	 k'ídís'éés 
To stick one's tongue out with a flicking motion	 dishnood 
To stick out	 dínéeshch'ozh 
To stick out one's tongue	 sitsoo' haashgééd 
To stick one's tongue out at him	 bich'į' sitsoo' haashgééd 
To stick out one's arms and hand	 'adishchííd 
To stick them onto it	 bikáa'gi bídadiishjeeh 
To stick them together	 'ahídiishjeeh 
To stick up jagged	 dah deesdza' 
To stick with him	 shił nlį́ 
Stick around!	 'áłtsé t'áá 'akǫ́ǫ́ naniná!
Stick dice player	 'adiłdiłí
To lie stiff	 k'éshjííł 
To stand straight and stiff	 k'ísé'á
To get the stiffness out	 hodissééh
Still more than it	 t'ah biláhádi
To sting	 binii' yiłch'íí' 
To stir	 nahash'ná 
To stir-fry	 'ásaana'assiid
Stirrup strap	 bii'dees'eez bitł'óól
To rough-stitch it	 bił dishłeeh 
To stitch them	 ńdaashkad 
To stitch it to it	 bídiishkaad 
To stitch them together	 'ahídiishkaad
Unproductive livestock	 na'aldloosh doo 'ádíná'iilt'e'ii
Buckskin stockings	 'abaní yistłé 
To put them on	 'ádąąh ninists'ǫǫd 
To be unable to stomach it	 yish'į́ 
To growl	 bitsą́ hodiits'a' 
To give one a stomach ache	 bitsą́ hodiłniih
Stomped out water	 tó habó'ool'eez 
To stomp it out	 habé'és'éés 
Peach stone	 didzétsoh bik'ǫ́ǫ́' 
Small river stones used as pounding tools	 tasootse' 
White mirage stone	 hadahoniye' łigai
To have a bloody stool	 dił béshchį'
To become stooped	 yaa yiistáás 
To make it stop hurting	 yiniłk'e' 
To stop	 ni'nishtłáád 
To stop it	 ninishtłáád 
To stop	 'ááhoosht'įįh 
To stop aching	 nik'e' 
To stop cranking it	 ni' ninisgéés 
To stop dancing	 ni'nishzhíísh 
To stop driving them	 ni' nininissóód 
To stop him	 nibinishtłáád 
To stop it for him	 bił nibinishtłáád 
To stop hurting	 nik'e' 
To stop it	 ninisht'ééh 
To stop it	 'áshłééh 
To stop over	 dah yishnééł 
To stop pushing it	 nibíníshbííł 
To stop raining	 yóó' 'ahałtįįh 
To stop talking	 niyáníshtééh 
To stop towing it	 ni' ninisdzį́į́s 
To stop weaving it	 ninishtł'óóh 
To stop working	 ninishníísh 
To put a stopper in it	 bidádi'nish'aah 
To put a stopper in it	 bidádi'nishjooł
To store it away	 nooh yishchí 
Food store	 ch'iyáán bá hooghan 
Grocery store	 ch'iyáán bá hooghan 
Shoe store	 ké ndahaniih 
To the store	 kingóó 
From the store	 kindę́ę́'
To have an electrical storm	 bee n'deeshch'il 
To be a dust storm	 łeezh bee chahałheeł 
To storm one city after another	 kįįh hiibááh 
To blow up a rainstorm	 níłtsą́ hayé'ésooł 
To blow up a snowstorm	 chííl hayé'ésooł
Stories of witchcraft	 'áńt'į́į́hjí hane' 
Dirty story	 hane' t'óó baa'ihígíí 
To be telling stories	 hweeshnih 
To begin a story	 'aho'niishnííh 
To tell a story about it	 baa nahashne'
Electric stove	 béésh łichíi'ii bee ch'iyáán 'ál'íní
The last straggler	 'akéédę́'ígií
To stand straight and stiff	 k'isé'á 
To stick out straight	 k'éz'á 
To stand straight up	 yaa'á 
To straighten things out	 k'ínáháshdǫǫh 
To straighten things up	 hasht'e'eshłééh 
To straighten it up	 hasht'eeshłééh 
To straighten up	 k'éshdǫǫh
To strain	 disdzííł 
To strain at it	 bíká 'iisdzííł 
To strain it	 bigháníshdééh 
To strain oneself	 dists'ǫǫd
To strangle him with a cord	 bizák'ídiishłeeh 
To strangle it	 bíchį́į́h dádiistsóód
They lie in ascending strata	 hadook'įh 
To streak his forehead with paint	 bítáá' na'nishdleesh 
A red streak extends	 dzíchii' 
A green or blue streak extends	 dzideetł'izh 
A yellow streak extends	 dzítso 
A white streak extends	 dzígai 
There is a black streak	 diníłhéél 
A stream emerges	 ch'íbíkooh 
Stream bed	 cháshk'eh 
To cry with tears streaming down	 shinák'eeshto' náálį́įgo yishcha 
To go streaming away	 'ahizhóósh 
To go streaming in	 yah 'ahizhóósh 
To make it come streaming out	 hahashshóósh 
Along the street	 kiniit'aagóó 
Down the street	 kintah góyaa  
With all one's strength	 dziilí bee 
His strength	 bidziil
To stretch to	 taahóóteel 
To stretch one's legs out straight	 k'ídís'éés 
To stretch out one's hand	 'adishnííh 
To stretch oneself	 'ádísk'ąąs 
To stretch one's neck up out	 haasts'ǫǫd 
To stretch one's neck back up	 hanásts'ǫǫd 
To stretch it tight	 dists'ǫǫd 
To be struck and killed by lightning	 'ii'ni' biisxį 
To strike with it	 bee 'adistsxis 
To strike	 'adiilch'ił 
To strike it	 bí'oo'nih 
To strike him	 bił łe'diłch'ííł 
To strike	 bich'į' dah diilyeed 
To strike at the hidden ball	 yínístseeł 
To strike him down	 'ii'ni' naa'iiłt'e' 
To strike it	 yiissoh 
To strike out among them	 bitaa'ashhaał 
To strike the moccasin with the indicator	 'adistseeł 
To strike them one after another	 'ahehessóóh 
To strike them together	 'ahídiishnił 
To strike their heads together	 'ahíbiniishniih 
To strike upon it	 béédi'nishtįįh
To put a string through it	 bighá'nísht'ééh 
To string him along	 náás dínósh'ááh 
To string him up	 dah hidiishłeeh 
To string it	 bighá'nísht'ééh 
To string them	 yish'eesh 
To start to string them	 bi'niish'éésh
Criss-crossing stripes	 'ałnáago noodǫ́ǫ́z 
Gray strip	 dzíbá 
Red strip	 dzíbá 
Green or blue strip	 dzideetł'izh 
Yellow strip	 dzítso
To strip it off	 bą́ą́'díssǫ́ǫ́s 
To strip the threads on it	 k'ínísgéés
To be stronger than him	 bilááh 'áshóodziil 
To make oneself strong	 ádístł'is
To struggle with him	 bił 'ałk'iishyeed 
To struggle with them	 bił 'ałk'iishjeeh 
To be stuck together	 'ahishzhash 
"To be ""stuck up"""	 yówéé' 'ánísht'é 
To climb up and get stuck	 hadinish'nééh 
To get one's finger or hand stuck in it	 biih dinishnííh 
To get one's hand stuck in it	 biih didinishnííh 
To get one's head stuck in it	 biih dininisht'aah 
To get stuck	 dah hidiilts'ííd 
To get stuck on a sandbar in it	 bił dah hidiilts'ííd 
To get stuck	 dah hidiilts'ííd 
To get stuck on a high center in it	 bił dah hidiilts'ííd 
To get stuck in a boghole	 nahodits'ǫ' 'adinilyeed 
To get stuck in it	 biih dinilyeed 
To get stuck	 'iizhash 
To get stuck together	 'ahiijash 
To have one's feet stuck out	 k'ídínís'eez 
To row	 biih dinish'eeł 
To step into it and get stuck	 biih didinis'éés
To stuff it	 biih hishshóósh 
To stuff one's pocket with it	 siza'azis 'ahishshóósh 
To be stumbling around after something	 hadisdza' 
To come stumbling inside	 yah 'adisdzééh 
To go stumbling away and disappear	 yóó' 'adisdzééh 
To stumble	 'adínísht'ééh 
To stumble backwards	 t'ą́ąjį'go 'adínísht'ééh 
To stumble and fall	 chą́ą́h dishgeeh 
To stumble and fall with one	 bił digeeh 
To stumble around	 'ádił nahodiishjaah 
To stumble away	 'adisdzééh 
To stumble into the water	 taah disdzééh 
To stumble away out of view	 nii'oh disdzééh 
To stumble up	 hadisdzééh
Dried up stump	 'asgą' 
Its stump	 bisgą'
To stump them	 tsístł'anishkaad
Subject matter	 bídahoo'aahii 
Several subjects	 t'áá díkwíígóó
To submerge	 táłtł'ááh 'ii'eeł 
To submerge	 tátłtł'ááh bił 'e'e'eeł 
To submerge in it	 táłtł'ááh bił 'ii'eeł 
To submerge	 táłtł'ááh 'e'esh'eeł 
To submerge it	 táłtł'ááh 'iish'eeł
To subside	 niiłnééh 
Such and such a person	 'ákó'óolyéenii 
Such as	 da
To be sucking it	 yisht'oł 
To suck	 'asts'ǫǫs 
To suck it	 yisht'o' 
To suck it out of it	 bii' haasht'ood 
To suck it out	 ch'ínísht'ood 
To suck it up	 yiyiits'ǫs 
To suck on it	 yists'ǫǫs 
To suck on oneself	 'ádiists'ǫs 
To start to suck it along	 disht'ood
To suckle	 'i'iisht'o' 
To suckle it	 bi'iisht'o' 
To stop suckling	 'idisht'ood
To suffer a let down	 bąąh nahakaad 
To suffer a loss	 bits'ą́ą́' bididzóóh 
To suffer from it	 bee bąąh dah haz'ą́ 
To suffer	 ti'hooshnííh 
To suffer pain	 bił honiigááh 
Brown sugar	 'áshįįh łikan yishtłizhígíí 
Excess sugar in the urine	 łizh 'áshįįh łikan t'éiyá 
Powdered sugar	 'áshįįh łikan dibahí
To make a suggestion	 hodish'aah
Woman's suit of clothing	 'asdzání bi'ée' 'ałk'ihodé'nilígíí
Native sulfur	 kǫ' diditł'ish
Aromatic sumac	 k'įį'
Last summer	 shį́į́dą́ą́' 
This summer	 diízhíní 
In the summertime	 shį́įgo- 
To be about to begin	 'i'niishį́į́h 
To return	 ch'ínáshį́į́h 
To return again	 ch'ínínáánáshį́į́h 
To spend the summer	 beeshį́į́h 
The summer before last	 ná'átsé shį́į́dą́ą́'
Near the summit	 nábínibidiidi 
From near the summit	 nábínibidiidę́ę́'
Sunny side	 shą́ą́' 
Just as the sun was coming up	 t'óó ha'oo'áłígo
Next Sunday	 náádámóo
After sundown	 'i'íí'ą́ą́dóó bik'ijį' 
At sundown	 'i'íí'ą́ągo
Sunken ship	 tsinaa'eeł táłtł'áahdi si'ánígíí 
Sunken cannon	 bee'eldǫǫhtsoh táłtł'áahdi si'ánígíí 
Sunken treasure	 t'áadoo le'é da'ílínígíí táłtł'áahdi naazyínígíí
On the sunny side	 shą́ą'jigo
At sunrise	 ha'íí'ą́ągo
After sunset	 'i'íí'ą́ą́dóó bik'ijį' 
At sunset	 'i'íí'ą́ągo
At sunup	 ha'íí'ą́ągo 
Just at sunup	 t'óó ha'oo'áłígo 
To stay until sunup	 bee ha'a'aah
General Superintendent	 Naat'áanii T'ááłá'í
To be superior	 'ayóí 'ánísht'é
To supplement one's income	 béeso bee hinishnáanii bíhiniidééh
To be in short supply	 bídin hóyéé'
Supported by it	 bíyah 
Main support	 sahdii 
To have full support	 bich'ijí hódlǫ́ 
To put a support under it	 bíyah 'aniistsééh
To be able to support them	 bik'inaasdzil 
To be unable to support them	 bi'oh neesh'ą́ 
To support oneself by means of it	 bee 'iiná dah yishłééł 
To support them	 bik'iisdził
I sure am	 'ákóníshkáłí 
why sure	 daashą' 'át'é 
Sure enough	 niik'ehę́ę
Surface of the water	 táłkáá' 
Surface of the snow	 yaskáá' 
To have multiple surfaces	 bídazneesk'ą́
To do surgery	 na'ashgizh 
To do surgery on him	 naashgizh
Surplus wheat	 tł'oh naadą́ą́' ch'ídahiniłnéhígíí
To be surprised	 t'óó bił 'ahóóyóí
To surrender it to him	 baa dinish'aah
To be surrounded by a fence	 biná'ázt'i' 
To be surrounded by a trickling stream	 binásts'ą' 
To be surrounded by an extensive flat area	 bináhaazkaad 
To be surrounded by it	 bináhidéyį́ 
To surround him	 binísiil'á 
The different peoples that surround us	 'ał'ąą dine'é nihináhaazláii 
To surround it	 bináhaazyį́ 
To surround it with a fence	 biná'ásht'ih 
To suspect him	 bił neíníshłí 
To suspect him	 bííníshnííh
To suspend it from it	 bąąhdę́ę́' naasht'ééh 
To come under suspicion	 baa 'ayahoolni
To become or be suspicious of him	 baa 'ayahooshłi 
To become suspicious of him	 bííníshnííh
To swab one's throat	 shidáyi' na'astsi: 
To swab out its nostrils	 bíníí' na'astsi 
To swab out one's nostrils	 'ádíníí' na'astsi 
To swagger around looking for trouble	 'áchá naasht'á 
To swallow	 'e'eshneeh 
To swallow it	 'iishneeh 
To swallow them one after another	 'ahishneeh
To come swarming in	 yah 'e'esooł 
To swarm through it	 yighá'ísooł 
To swarm up out of it	 bii' ha'asooł
To sit swaying back and forth	 sédáago yishhod 
To sway	 nanishkaad 
To sway back and forth with it	 yishhod 
To be sworn in	 'ádee hadisdziih 
To swear on the Bible	 naaltsoos bik'ehgo 'ádee hadisdziih 
To swear at him	 yínísdziih
To break out in a sweat	 niish'eeł 
To sweat in the genital region	 baa 'anii'eeł
Floor covering of a sweathouse	 'ayaa shijéé' 
To get into the sweathouse	 táchééh yish'nééh 
To get into the sweathouse one after another	 táchééh hii'nééh
To be swept	 nahalzhooh 
To sweep	 nahashshooh 
To sweep it inside	 yah 'iishshóóh 
To sweep it together in one pile	 'ahaninishshóóh
Vacuum sweeper	 kin góne' bee ndahalzhoohígíí
His sweetheart	 be'at'ééd
To be swelling	 noochał 
To swerve in	 bił dilyéés
To go swiftly	 'adínék'ęęz 
To be swimming along after it	 há'eeshkǫ́ǫ́ł 
To be swimming around	 naaná'eeshkǫ́ǫ́ł 
To swim across	 tsé'naa ni'nishkǫ́ǫ́h 
To have swum across	 tsé'naa ni'séłkǫ́ǫ́' 
To swim after it	 há'níshkǫ́ǫ́h 
To swim around it	 biná'áshkǫ́ǫ́h 
To swim away	 'e'eshkǫ́ǫ́h 
To swim away and disappear	 yóó' 'e'eshkǫ́ǫ́h 
To swim away from each other	 'ałts'á'iilkǫ́ǫ́h 
To  swim away from it	 bits'á'níshkǫ́ǫ́h 
To swim out	 ch'í'níshkǫ́ǫ́h 
To  swim in a circle	 'ahéé'níshkǫ́ǫ́h 
To swim to him	 baa 'anishkǫ́ǫ́h 
To swim to shore	 tsíłts'á'níshkǫ́ǫ́h 
To swim to the bottom	 táłtł'ááh góyaa 'e'eshkǫ́ǫ́h 
To swim under  water	 táyi' 'eeshkǫ́ǫ́ł 
To start  off swimming	 dah 'adiishkǫ́ǫ́h  
To start to swim	 ńdiishbeeh 
To start to swim	 ha'ashkǫ́ǫ́h 
To start to swim after it	 há'díshkǫ́ǫ́h  
To swing him	 ńdíshbał 
To swing him	 nábidishbał 
To swing it in a circle	 yismaz
To swipe it from him	 bee nish'įįh
To swirl around and around in the wind	 bił 'ahééhéyóół
To be a syphilitic	 chách'osh bee bąąh dah haz'ą́  
Corn syrup	 dá'ákaz bitoo'
Small four-legged table	 tsįįshdloozh 
On the table	 bikáá'adání bikáa'gi 
Under the table	 t'áá nanit'inee
To tackle	 'ajishgeeh 
To tackle him	 yiishgoh 
Identification tag	 béésht'ą́hí 
Wool tags	 'aghaa' daníímas
Horse tail rope	 łį́į́' bitsee' tł'óół 
To be going along with his tail between his legs	 yiljoł 
"To ""high tail it"" out"	 ch'íníshtaał
To taint it	 bídiich'aał
To be taken aback	 t'óó bił 'ahóóyóí 
To be taken by	 bíighahgóó bił ch'í'ít'ááh 
To be taken for money	 bigha'ílyé 
To be taking place	 baa 'ooldah 
"To get ""taken"""	 doo shóshi'dool'įįdgóó 'át'éé lá 
To have one's picture taken	 'abi'dilkeed 
To put on his and not want to take them off	 bits'ą́ą́' biih didinishnííh 
To start to take a bath	 ńdiishbeeh 
To take charge of him	 'áyaa 'iishteeh 
To take charge of them	 'áyaa 'iish'nííł 
To take a boat across	 tsé'naa ni'nish'eeł 
To take him across by boat	 tsé'naa bił ni'nish'eeł 
To take a deep breath: shiyol 'iishdóóh	 shiyih 'iishdóóh 
To take a defensive position with one's hands up	 'ách'ą́ą́h ndishchid 
To take a dose of it	 'ádádiisdzííd 
To take after him	 dishkááh 
To take after it	 yikéé' yaaltaał 
To take ahold of it with one's nails	 yiists'ih 
To take a a hold of it	 yiistsah 
To take a leisurely look around	 nanisht'á 
To take a little nip of it	 t'įįhdígo yishdlą́ 
To take a little roll	 ńléí 'ákohgóó 'iismáás 
To take a look at it	 nísh'į́ 
To take a meal	 'ashą́ 
To take a name	 'ádííníshjí 
To take a nap	 ni'shéłhaazh 
To take a pinch of it	 yiists'ih 
To take a quick look around	 nanishne' 
To take art	 na'ashch'ąąh bíhoosh'aah 
To take a shot at it	 yíníishdǫǫh 
To take a sip of it	 'ádádiisdzííd 
To take a step	 ndinis'éés 
To take a swallow of it	 'ádádiisdzííd 
To take a taste of it	 yiishłįh 
To take charge of it	 bee 'ádíhooshniih 
To take flight	 naniidzood 
To take great care with it	 baa jé'ííníshná 
To take great pains with it	 baa ndishhį' 
To take refuge inside of it	 biih niidzóód 
To take refuge in the water	 taah niidzóód 
To take refuge in town	 kįįh niidzóód 
To take unfair advantage of him	 łíshcháázh 
To take up a collection	 naashchi' 
To take him	 bił ninishdeeł 
To take him across by plane	 tsé'naa bił ni'nisht'ááh 
To take him around in it	 bił tádíshdóóh 
To take him away by water	 bił 'e'esh'eeł 
To take him captive	 yishnááh 
To take him for him	 bínísh'ááh 
To take his or her clothes off	 baa'diishjááh 
To take his place	 bikék'ehjį' 'iishááh 
To take it apart	 tanáosh'nił 
To talk	 yáshti' 
To talk about it	 baa yáshti' 
To talk to him	 bich'į' yáshti' 
To talk against him	 bits'ą́ą́jí yáshti' 
To talk slowly	 doo hah yáshti' da 
To talk in one's sleep	 sitsąąh yáshti' 
To talk to oneself	 'ádił yáshti' 
To talk about it incessantly	 bizee' si'ą́ 
To talk back to him	 bidááh hanásdziih 
To talk for it	 yábiishti' 
To talk him into it	 bighadi'nisht'ą́ 
To talk it up	 'abíyáníshtééh 
To talk him out of it	 bighanisdzóód 
To talk nasty about it	 yiishkóóh 
To talk to him	 bich'į' hashne' 
To talk to him on the telephone	 béésh bee bich'į' hashne' 
To talk too long	 hadinisdziih 
To try to get it to talk	 yábiishti' 
To start to talk on the telephone	 béésh bee ho'niishnííh 
To be equally tall	 'aheeníilnééz 
To start to tame it	 bi'niishshǫǫh
To tan hides	 'assééh 
To tan it	 yissééh 
To start to tan it	 bi'iissééh
To get tangled up with it	 bik'ídiitas
To sit tapping one's foot on the floor	 nikídísht'eehgo sédá 
Tapering	 dah 'ats'os
Black tarantula	 naał'aashii łizhinígií 
Red tarantula	 naał'aashii łichí'ígíí
Gunnery target	 dajółdonígíí 
Pitching target	 dajółne'ígíí 
Archery target	 dajółt'óhígíí 
Knife throwing target	 béésh baa 'ańdajisihígíí 
Spear throwing target	 béésh baa 'ańdajisihígíí
Tassels	 'ajánil
To sample things by tasting them	 bitaa'ashłįįh 
To tattoo oneself	 'ák'e'eshchí
To become taut	 dits'ǫǫd 
To hold it taut	 yíníshdon 
To pull it taut	 dists'ǫǫd
Mt. Taylor	 Dootł'izhii Dziil
To be teaching it to oneself	 bee 'ádineeshtį́į́ł 
To teach it	 nanishtin 
To teach it to him	 bíbiyiish'aah 
To teach it to oneself	 bee na'ádinishtin
To be on the verge of tears	 'i'niishchééh 
To break into tears	 haashchééh 
To make a series of tears in it	 'ahissǫ́ǫ́s 
To tear	 'iidlaad 
To tear a hole in it	 bighássǫ́ǫ́s 
To tear apart	 'ahát'ood 
To tear a strip from it	 hadiissǫ́ǫ́s 
To tear it apart into several pieces	 'aháhéssǫ́ǫ́s 
To tear it from end to end	 hadiissǫ́ǫ́s 
To tear it into strips	 'aháhéssǫ́ǫ́s 
To tear it off	 k'íníssǫ́ǫ́s 
To tear it off him	 bik'i naashdlaad 
To tear it off oneself	 'ák'eeshdlaad 
To tear it out	 haassǫ́ǫ́s 
To tear it repeatedly	 'ahissǫ́ǫ́s 
To tear them out one after another	 hahassǫ́ǫ́s 
To share it with him by tearing it apart	 bił 'ałts'á'dísdǫ́ǫ́ s 
To start to tear it in two	 'ahábi'niishdlaad
To have one teat missing bibe'k'is	 be'k'isí
Area between the lower or upper front teeth and the gums	 'awót'ah 
Gap between teeth	 'awógiizh 
Space between the teeth	 'awók'iz 
To have a good set of teeth	 biwoo' násgai 
To sink one's teeth into it	 biníjíshháásh 
To take out false teeth	 'awoo' 'azanátį́hígíí sizéé' hanáshtįįh  
They sank their teeth into each other	 'ahidineestsah 
To send him a telegram	 béésh łichíi'ii bee bich'į' hane' 'áshłééh
To start to talk on the telephone	 béésh bee ho'niishnííh
To look with a telescope	 bee 'adéest'į́į́' bee dínísh'į́į́'
Television antenna	 níłch'i naalkidí bá yaa'áhí
To be told about	 baa nahane' 
To be telling the truth	 t'áá 'aaníígóó 'ádíshní 
To tell	 hashne' 
To tell about oneself	 'ádaa hashne' 
To tell each other	 'ahił hwiilne' 
To tell each other about it	 bee 'ahił hwiilne' 
To tell him about it	 bee bił hashne' 
To tell him a dirty joke	 nahat'i' t'óó baa'ihígii ła' bee bił hashne' 
To tell him again	 'ánáábidish'niih 
To tell him to	 yish'á 
To tell it to him	 bidishní 
To tell more than one intended	 bilááhgóó 'ahashne' 
To tell the truth	 t'áá 'aaníí 'ádíshní 
To tell them	 ch'íhwiish'aah 
To tell things	 bił ch'ídaash'a' 
To tell too much	 bilááhgóó 'ahashne'
To tempt him	 bíníshtááh
Ten times	 neeznáadi 
The tenth one	 neeznáá góne'ígíí 
Ten bits	 neeznáá yáál 
Ten cents	 dootł'izh 
Ten card coon-can	 neeznáá dahijihgo 
Ten spot	 neeznánígíí 
Ten of hearts	 neeznánígíí góobas 
Ten of spades	 neeznánígíí 'asbáala 
Ten of diamonds	 neeznánígíí 'oola 
Ten of clubs	 neeznánígíí báasdos
Spinal neck tendons	 'ak'oniłt'i' 
Tendon in the ankle of humans	 'atsáts'id 
Tendon in the hind leg of animals	 'atsáts'id 
Tendon of the foot	 'akéts'id 
Tendon of the hand	 'áláts'id
Tent camp	 níbaal sinil 
Tent pole	 sahdii
To terminate	 be'iina' niit'ééh 
To be on bad terms with him	 bił 'ałch'į' ndishk'ą' 
To get back on speaking terms with him	 k'énábidish'niih
Terrible	 t'óó bąąh yínínígi 'át'éego 
Terrible place	 hodooda
It's terribly heavy	 doo shóníłdáás 
It's terribly long	 doo shóníłnééz 
It's terribly wide	 doo shóníłtéél 
It's terribly far	 doo shónízáád
To be overcome by terror	 bił yéé' haleeh
To test him	 bíníshtááh 
To test it	 bee 'íníshtááh 
To test it	 bá nísh'į́ 
To contract tetanus	 dádiistsxah
To tether it with it	 bizénásht'ih 
To tether it to a tree	 tsin bąąh dah hashtł'ó 
To tether them	 dah dahashtł'o'
Thanksgiving Day	 Tązhii Daaghał
To thaw it back out	 náshhį́į́h 
To start to thaw it	 bi'niishhį́į́h 
To start to thaw it back out	 nábi'niishhį́į́h 
Now and then	 łáháda 
Then and there	 t'áadoo háágóó da niyátéhé
There	 'áadi 
From there	 'áádóó 
In there	 'ákóne' 
Across there	 'ákónaa 
Down there	 'ákóyaa 
Here and there	 ła' 'ałyóígóó 
Over there on the other side	 'ákó'ąą 
A little ways over there	 ńléí 'ákohdi 
A little ways from there	 'áádóó ńléí 'ákohdi 
To have a desire to go there	 'ákǫ́ǫ́ bíni' 
Outdoor thermometer	 hadoh dóó hak'az neiłkidígíí
To be a circular thicket	 'ahééhodiníłch'il 
Oak thicket	 chéch'iltah
To be a thief	 'anish'įįh
Front surface of the thigh	 'atsoosk'id 
The pocket between the inner surface of the thigh and the scrotum or vulva	 'ak'aasht'ah 
Area between the thighs	 'achxoshta'
To be thin	 tózháán 
To get thin	 bét'ood 
"To ""have a thing"" for him or her"	 bich'į' 'ashjił
To be thinking along the same lines as he is	 bił 'aheenissin 
To be thought	 hwiiniidzįįh 
To be thought	 hwiiniidzįįh 
To think about it in that way	 t'áá 'ákwíinissin 
To think alike about it	 'aheełt'éego baa ntsíikees 
To think it over	 nabik'ítséskees 
To think maybe	 sha'shin nisin 
To start to think about it	 baa ńtsídiiskees 
Third day	 tágí jį́ 
In third place	 táá' góne'
To be killed by thirst	 dibáá' 'ábiłdįįh
Thirteen times	 táá'ts'áadahdi 
Thirteen hundred	 táá'ts'áadahdi neeznádiin
Thirty times	 tádiindi 
Thirty-one	 tádiin dóó ba'ąą t'ááłá'í 
Thirty two	 tádiin dóó ba'ąą naaki
This much	 kónéelą́ą́' 
This many	 kónéelt'e' 
This way	 kojigo 
To be this heavy	 ko'ánísdáás 
To be this tall	 ko'ánísnééz 
To be this skinny	 ko'ánístsxází 
To be this wide	 ko'áníshtéél 
To be this little	 ko'áníshyázhí 
To be this tall	 kónísnééz 
To be this skinny	 kónístsxází 
To be this tall	 kónístso 
To be this heavy set	 kóníshdííl 
To be this wide	 kóníshtéél 
To do it this way	 kóshnééh 
To do like this with it	 kóshłééh
Bull thistle	 mą'iidą́ą́'
To get a thorn in one	 baa 'e'ezhóósh
To have second thoughts	 bił díníshchééh
One thousand	 t'ááłáhádi mííl 
A hundred thousand	 t'ááłáhádi neeznádiindi mííl 
One thousand and one	 t'ááłáhádi mííl dóó ba'ąą t'ááłá'í 
Two thousand	 naakidi mííl 
A thousand times	 t'ááłáhádi míildi
To strip the threads on it	 k'ínísgéés
To threaten his life	 bizéé' naash'á
Three times	 táadi 
Three hundred	 táadi neeznádiin 
Three thousand	 táadi mííl 
Three million	 táadi mííł ntsaaígíí 
Three of clubs	 tá'ígíí báasdos 
Three of hearts	 tá'ígíí góobas 
Three of spades	 tá'ígíí 'asbáala 
Three of diamonds	 tá'ígíí 'óola
To thresh beans	 haashhaał 
To thresh it	 hahashk'ááh
Down the throat	 'adáyi' góyaa 
To cut his throat	 bizádíshgéésh 
To have a sore throat	 bidáyi' hashch'íí' 
To have one's throat swell shut	 bidáyi' dáhodíníchaad 
To hold one's throat	 'ázák'ídííníshtą'
Gangway! Let me through!	 'akóóh! 
To get through weaving it	 ninishtł'óóh 
To go through danger	 yéé' bii' niséyá 
To go through with it	 ła' yishłééh 
To be unable to go through with it	 nánísyéés 
To break through	 bighákaad 
To break through	 bigháltǫ'
To throw a long way	 'ajiishne' 
To throw a ball to him	 jooł bee bich'į' 'ajiishne' 
To throw a loop or noose at it	 yíníishłeeh 
To throw a Christmas party	 Késhmish 'ashłeeh 
To throw arms around each other	 'ahił 'iideeł 
To throw at them	 bitaa'ashne' 
To throw snowballs at them	 yas bee bitaa'ashne' 
To throw each other	 bił ni' hinishgeeh 
To throw hard	 'ajiishne' 
To throw him a pass	 bich'į' 'e'eshne' 
To throw him down	 bił ninishdeeł 
To throw it	 'ahishhan 
To throw it to him	 bich'į' 'ahishhan 
To throw it against it	 bídiistsxis 
To throw it in the water	 taah hishhan 
To throw it open	 'ąą hidiishhan 
To throw it open	 'ąą yidiiłhan 
To throw it	 ch'íhinishhan  
To throw it up	 bénáshkwi 
To throw it	 yááhiishhan 
To throw it with great force	 dah yiishjį́į́h 
To throw one	 nabiłgeeh 
To throw spears at each other	 'ahííníilt'óóh 
To throw them away	 yóó' 'ahishtł'iid 
To throw them off	 hahidiishtł'iid 
To throw them out	 ch'éhéshtł'iid 
To throw them through it	 biníkáháshtł'iid 
To throw them together hurriedly	 'ahanibízhníshkaad 
To throw a ball through it	 jooł bee biníkázhníshne' 
To throw up	 náshkwi 
Joint of the thumb	 'áláwos
To lie thumping his tail	 bitsee' nikíidiłt'eehgo sitį́ 
To thump one's head against it	 bíníshnih
Thunder Man	 'Ii'ni' Hastiin 
Thunder Songs	 'Ii'ni' Biyiin 
A rumble of thunder is rolłing by	 'adoo'nííł 
There is the sound of thunder	 'adi'ní
To be made thus	 'ákólnééh 
To do thus	 'ákóshnééh 
To make it thus	 'ákóshłééh 
It is thus	 'ákót'é
